relative_path,filename,extension,parent_folder,split,dataset_hint,size_bytes,size_mb,sha256,hash_error,is_image_extension
BSR\bench\data\images\3063.jpg,3063.jpg,.jpg,BSR\bench\data\images,unspecified,Unknown / custom,47609,0.045403,b98bff045cc2fca3011e11d437b11e9ad564c305f5e75aeed8cf1e99b23d2076,,True
BSR\bench\data\images\5096.jpg,5096.jpg,.jpg,BSR\bench\data\images,unspecified,Unknown / custom,71961,0.068627,036eeb42cc04fea9f0bd7c3c19343e0c3e66b74c979e74829331e4a832ae7810,,True
BSR\bench\data\images\6046.jpg,6046.jpg,.jpg,BSR\bench\data\images,unspecified,Unknown / custom,84493,0.080579,3db99e079df3ee618560d840d02dbf124e35d06461058b4f88688b7334cbe098,,True
BSR\bench\data\images\8068.jpg,8068.jpg,.jpg,BSR\bench\data\images,unspecified,Unknown / custom,54207,0.051696,160faa4e5a1ce7428bc03e12c4d5b12b2780e8955de2210b7e91421d662911d5,,True
BSR\bench\data\png\2018.png,2018.png,.png,BSR\bench\data\png,unspecified,Unknown / custom,19887,0.018966,2d87be617d07ace5d174abc8dd4ce8b541df4a5c168679d3b9ef9c68bb482ce7,,True
BSR\bench\data\png\3063.png,3063.png,.png,BSR\bench\data\png,unspecified,Unknown / custom,18004,0.01717,7d6a07ed93676532e6ea98b5179859b9edc09da29412893436b726e68197bd27,,True
BSR\bench\data\png\5096.png,5096.png,.png,BSR\bench\data\png,unspecified,Unknown / custom,19944,0.01902,f5a355c1a7365e360a8763bb117758279d2fbb8d50e7a96e472d9813d248c54e,,True
BSR\bench\data\png\6046.png,6046.png,.png,BSR\bench\data\png,unspecified,Unknown / custom,25334,0.02416,3b729c6278237df3c7022320e1f88bb8474deff5bf463d73bcca7a6d55f21c09,,True
BSR\bench\data\png\8068.png,8068.png,.png,BSR\bench\data\png,unspecified,Unknown / custom,19564,0.018658,76fac93bef3ed45da792bd548dc85626182395906837deef8a4ac41fceb56c54,,True
BSR\bench\data\segs\2018.mat,2018.mat,.mat,BSR\bench\data\segs,unspecified,Unknown / custom,19408,0.018509,d22e687a0846338d4c221a7f3a278164dcf5936621db15c6ba1cda06264e11f7,,False
BSR\bench\data\segs\3063.mat,3063.mat,.mat,BSR\bench\data\segs,unspecified,Unknown / custom,16410,0.01565,752d4fb9387549c0c8f77a0fde703fa79e361236a6e8815b523624478d428324,,False
BSR\bench\data\segs\5096.mat,5096.mat,.mat,BSR\bench\data\segs,unspecified,Unknown / custom,14514,0.013842,95c09c4be29a4054905bde0ad5671eb3300aef90044eebb706dc7b2bc5c78554,,False
BSR\bench\data\segs\6046.mat,6046.mat,.mat,BSR\bench\data\segs,unspecified,Unknown / custom,14531,0.013858,ca3b66ac0e531fdd3b60f8a08a6e852ad425ffb8ab39ecaab9ad76b2d2f434ac,,False
BSR\bench\data\segs\8068.mat,8068.mat,.mat,BSR\bench\data\segs,unspecified,Unknown / custom,16262,0.015509,b7b7ee07fcea6ca7450bab5b4a6d8c220d38314edb94a9c5baef2600c33d5954,,False
BSR\bench\data\test_1\eval_bdry.txt,eval_bdry.txt,.txt,BSR\bench\data\test_1,unspecified,Unknown / custom,88,8.4e-05,ccb4a0c3c1795316fe66a9f20c1b5340b322a0f46500604ca95bfb536372f838,,False
BSR\bench\data\test_1\eval_bdry_img.txt,eval_bdry_img.txt,.txt,BSR\bench\data\test_1,unspecified,Unknown / custom,275,0.000262,4a07b11c201e639ca1423a32636fd3e91a4f048ce6f42e0830e756d4a59d5b38,,False
BSR\bench\data\test_1\eval_bdry_thr.txt,eval_bdry_thr.txt,.txt,BSR\bench\data\test_1,unspecified,Unknown / custom,220,0.00021,581c6b2ee564df3173a1f65f94629d6187888ae0441987d87df88b04582e6f3a,,False
BSR\bench\data\test_1\eval_cover.txt,eval_cover.txt,.txt,BSR\bench\data\test_1,unspecified,Unknown / custom,44,4.2e-05,f8ed6c81a46e5be5ebc90ef25d096d1ffb0fc5c019771af1a9b1d2e629a2ee76,,False
BSR\bench\data\test_1\eval_cover_img.txt,eval_cover_img.txt,.txt,BSR\bench\data\test_1,unspecified,Unknown / custom,220,0.00021,b318d1f7b0186969665a0a6b9ed379f7d9e4ea02396d88218ee12e9cfafabb4e,,False
BSR\bench\data\test_1\eval_cover_th.txt,eval_cover_th.txt,.txt,BSR\bench\data\test_1,unspecified,Unknown / custom,110,0.000105,7adbf4f5fb22d6fe0f733a76ece01a3b220b2c25349eb294b1e4889dfb0a094c,,False
BSR\bench\data\test_1\eval_RI_VOI.txt,eval_RI_VOI.txt,.txt,BSR\bench\data\test_1,unspecified,Unknown / custom,66,6.3e-05,f2d1555bdb71444c908b1860ff9f67b5fd4012361c020fd3750e536d53a47e05,,False
BSR\bench\data\test_1\eval_RI_VOI_thr.txt,eval_RI_VOI_thr.txt,.txt,BSR\bench\data\test_1,unspecified,Unknown / custom,165,0.000157,7d6ce28e14c27e9eee80e08320f7a360a990983c5be99d8b1fabb41ba4742eee,,False
BSR\bench\data\test_2\eval_bdry.txt,eval_bdry.txt,.txt,BSR\bench\data\test_2,unspecified,Unknown / custom,88,8.4e-05,2b60bc8152261aae11762182551de7c44920b51c5b995f8d3eabb8b8245bb582,,False
BSR\bench\data\test_2\eval_bdry_img.txt,eval_bdry_img.txt,.txt,BSR\bench\data\test_2,unspecified,Unknown / custom,275,0.000262,6a552bf9655bcb415caad4b4737d8c2b6028cff58987136b164389f988bc7e05,,False
BSR\bench\data\test_2\eval_bdry_thr.txt,eval_bdry_thr.txt,.txt,BSR\bench\data\test_2,unspecified,Unknown / custom,220,0.00021,b9eae5c96a2785dcfff96c2f9a72bd3c934f2ead553936af065ea3fe753c24d1,,False
BSR\bench\data\test_3\eval_bdry.txt,eval_bdry.txt,.txt,BSR\bench\data\test_3,unspecified,Unknown / custom,88,8.4e-05,275364ba354c13966412420f1467111ccd760e39966e0e4c2f758a2081456ece,,False
BSR\bench\data\test_3\eval_bdry_img.txt,eval_bdry_img.txt,.txt,BSR\bench\data\test_3,unspecified,Unknown / custom,275,0.000262,2ca5013f9a776db6a72d95a8287ef78f1b880bcf4b9e1f4bfb9563c52a9eff21,,False
BSR\bench\data\test_3\eval_bdry_thr.txt,eval_bdry_thr.txt,.txt,BSR\bench\data\test_3,unspecified,Unknown / custom,220,0.00021,0428235fa8ec397be79b6ff506b1569e66963816d16e22e4a4a08c110c4595b1,,False
BSR\bench\data\test_4\eval_bdry.txt,eval_bdry.txt,.txt,BSR\bench\data\test_4,unspecified,Unknown / custom,88,8.4e-05,104872ee26cd8c31c092d1856eff0848520eb0a81f34147677dbf4a34c46bb6f,,False
BSR\bench\data\test_4\eval_bdry_img.txt,eval_bdry_img.txt,.txt,BSR\bench\data\test_4,unspecified,Unknown / custom,275,0.000262,2861f2e78b950c15e617d7134bae53b44972bec10f7842ac982fad1444f4a769,,False
BSR\bench\data\test_4\eval_bdry_thr.txt,eval_bdry_thr.txt,.txt,BSR\bench\data\test_4,unspecified,Unknown / custom,220,0.00021,746f82fcb21e2e6989aa3c3bdb385eebe45904dccdceddbb9b6eb514caddbd39,,False
BSR\bench\data\test_4\eval_cover.txt,eval_cover.txt,.txt,BSR\bench\data\test_4,unspecified,Unknown / custom,44,4.2e-05,906e14d981078c449b78a182a8e24de51b40bef786f20d9e781a81ef31a46dc7,,False
BSR\bench\data\test_4\eval_cover_img.txt,eval_cover_img.txt,.txt,BSR\bench\data\test_4,unspecified,Unknown / custom,220,0.00021,518aaf3ad25bea614f83ca97bac36462cb4529daa1ca43128d7f74283d0ab1d3,,False
BSR\bench\data\test_4\eval_cover_th.txt,eval_cover_th.txt,.txt,BSR\bench\data\test_4,unspecified,Unknown / custom,110,0.000105,7db2abcc1a20a3e7eab9f3db948fa3603edcacc2442288d6ec5dbccaf8ad1c05,,False
BSR\bench\data\test_4\eval_RI_VOI.txt,eval_RI_VOI.txt,.txt,BSR\bench\data\test_4,unspecified,Unknown / custom,66,6.3e-05,a0bdd09304fda14fa490e4d27f5557120031c2f95a3a9cb3194b63724e1b00ce,,False
BSR\bench\data\test_4\eval_RI_VOI_thr.txt,eval_RI_VOI_thr.txt,.txt,BSR\bench\data\test_4,unspecified,Unknown / custom,165,0.000157,fd79bcab88721f888090b31d5ac7f29a8b4e900f0bceddf3a3de6f867d86abd8,,False
BSR\bench\data\test_5\eval_cover.txt,eval_cover.txt,.txt,BSR\bench\data\test_5,unspecified,Unknown / custom,44,4.2e-05,906e14d981078c449b78a182a8e24de51b40bef786f20d9e781a81ef31a46dc7,,False
BSR\bench\data\test_5\eval_cover_img.txt,eval_cover_img.txt,.txt,BSR\bench\data\test_5,unspecified,Unknown / custom,220,0.00021,518aaf3ad25bea614f83ca97bac36462cb4529daa1ca43128d7f74283d0ab1d3,,False
BSR\bench\data\test_5\eval_cover_th.txt,eval_cover_th.txt,.txt,BSR\bench\data\test_5,unspecified,Unknown / custom,110,0.000105,7db2abcc1a20a3e7eab9f3db948fa3603edcacc2442288d6ec5dbccaf8ad1c05,,False
BSR\bench\data\test_5\eval_RI_VOI.txt,eval_RI_VOI.txt,.txt,BSR\bench\data\test_5,unspecified,Unknown / custom,66,6.3e-05,a0bdd09304fda14fa490e4d27f5557120031c2f95a3a9cb3194b63724e1b00ce,,False
BSR\bench\data\test_5\eval_RI_VOI_thr.txt,eval_RI_VOI_thr.txt,.txt,BSR\bench\data\test_5,unspecified,Unknown / custom,165,0.000157,fd79bcab88721f888090b31d5ac7f29a8b4e900f0bceddf3a3de6f867d86abd8,,False
BSR\bench\data\ucm2\2018.mat,2018.mat,.mat,BSR\bench\data\ucm2,unspecified,Unknown / custom,250337,0.23874,88e9c55e43958758dd209284da119fc88bc0fd977e3e3eaadc35181a2a6448ac,,False
BSR\bench\data\ucm2\3063.mat,3063.mat,.mat,BSR\bench\data\ucm2,unspecified,Unknown / custom,185279,0.176696,658476415e3f511a1b190c4fc9960bec94cd870ab89ac52bbe963f724f2d6188,,False
BSR\bench\data\ucm2\5096.mat,5096.mat,.mat,BSR\bench\data\ucm2,unspecified,Unknown / custom,217694,0.207609,b1dfd3b1dba27d36d80b463c5c1fe2e99533a4667682da659b5117c166e8069a,,False
BSR\bench\data\ucm2\6046.mat,6046.mat,.mat,BSR\bench\data\ucm2,unspecified,Unknown / custom,298220,0.284405,b916d6a3dc4573ad3a6658e57bbd3e006c3d0315330e55a9f8d096467e4885e3,,False
BSR\bench\data\ucm2\8068.mat,8068.mat,.mat,BSR\bench\data\ucm2,unspecified,Unknown / custom,223176,0.212837,f3676b874f17db0e649c8ef979eddd06a47c34e770423ee48687bb3ba407f559,,False
BSR\bench\source\.gitignore,.gitignore,[no extension],BSR\bench\source,unspecified,Unknown / custom,11,1e-05,ad4118df42250b6b497be8cc0686c470537059df4ec29ecee4419bdc46d10ad4,,False
BSR\bench\source\Array.hh,Array.hh,.hh,BSR\bench\source,unspecified,Unknown / custom,7929,0.007562,3535d4dad0f18841a6ca42e1fe72a9f5d7689c364bb7efbd7a875597ae6f2ea0,,False
BSR\bench\source\build.m,build.m,.m,BSR\bench\source,unspecified,Unknown / custom,138,0.000132,3d7495e378c99bc3ace32375ad4e8717e192fa38f533d3cc4826f14e8db82d3c,,False
BSR\bench\source\build.sh,build.sh,.sh,BSR\bench\source,unspecified,Unknown / custom,85,8.1e-05,304331b0296f62604c374607a7529acb101f1253f72ae1127d1e504244a37874,,False
BSR\bench\source\correspondPixels.cc,correspondPixels.cc,.cc,BSR\bench\source,unspecified,Unknown / custom,2171,0.00207,103b99cb0e605f95090847c0306a67563685b26aac53addd55dc21b6bd52abc7,,False
BSR\bench\source\csa.cc,csa.cc,.cc,BSR\bench\source,unspecified,Unknown / custom,701,0.000669,b9162e8b6ab46355bdca8019fd187020c96b44f963d25e6e414e8c4fb0a73dc1,,False
BSR\bench\source\csa.hh,csa.hh,.hh,BSR\bench\source,unspecified,Unknown / custom,61823,0.058959,b7d2c76b680fa676b0dd6efff5810a1b31b4449caa92e2fdb65b13a7733d68cf,,False
BSR\bench\source\csa_defs.h,csa_defs.h,.h,BSR\bench\source,unspecified,Unknown / custom,4860,0.004635,9881da7e2ee44a0781c38fcf2badf4ca50e7ecba3e584785262799a1f2f027e9,,False
BSR\bench\source\csa_types.h,csa_types.h,.h,BSR\bench\source,unspecified,Unknown / custom,4536,0.004326,d280313b84f41cfff9735a6dbf974ce5938dc4cef82a4459e3a61e0acb0b6e30,,False
BSR\bench\source\Exception.cc,Exception.cc,.cc,BSR\bench\source,unspecified,Unknown / custom,1157,0.001103,89e1b9d434c2e117e662bee0ca9e84d6e4a0fbfdfc524c7ae9fdacbeb5abd994,,False
BSR\bench\source\Exception.hh,Exception.hh,.hh,BSR\bench\source,unspecified,Unknown / custom,1576,0.001503,a27b37d64eafdd344d5ae4b5bb7373f9507027ae6944283a7946c4a2f4409a5d,,False
BSR\bench\source\kofn.cc,kofn.cc,.cc,BSR\bench\source,unspecified,Unknown / custom,1673,0.001595,3219260d43526e18d611b6cd321c018e7eee495fd169258a9f5927c815a047ee,,False
BSR\bench\source\kofn.hh,kofn.hh,.hh,BSR\bench\source,unspecified,Unknown / custom,111,0.000106,cc85e02b2ff8906de6d7cf5cc4407ffd9a4888bbb6384dbb6545249dc853dce2,,False
BSR\bench\source\match.cc,match.cc,.cc,BSR\bench\source,unspecified,Unknown / custom,12024,0.011467,d4615da0e929ead49f8a4722bb9f3b7a1098ca7b722d792312fe2503f4b41445,,False
BSR\bench\source\match.hh,match.hh,.hh,BSR\bench\source,unspecified,Unknown / custom,280,0.000267,4374c506b85033974582f4e95ee103c6a03814e8e2053035329e6c0200298825,,False
BSR\bench\source\Matrix.cc,Matrix.cc,.cc,BSR\bench\source,unspecified,Unknown / custom,47460,0.045261,204ec962d5f1df21bb8c0805cf51d7a39a018a2a7a917a9dd9f3e5401068fed7,,False
BSR\bench\source\Matrix.hh,Matrix.hh,.hh,BSR\bench\source,unspecified,Unknown / custom,13371,0.012752,80a2063c445b9f501b409d0a4b7e04178347f7856cfc8b3d90d169b57d4235bd,,False
BSR\bench\source\Point.hh,Point.hh,.hh,BSR\bench\source,unspecified,Unknown / custom,1132,0.00108,1da17d4c0fd3ff6c76bdf5eb7e4358cb564732c415f2cc84c645e4aab3aedd12,,False
BSR\bench\source\Random.cc,Random.cc,.cc,BSR\bench\source,unspecified,Unknown / custom,1802,0.001719,1d22ddb446051f75705a3bf37fabfa4c1feaf0195af634a55784c46af731c39a,,False
BSR\bench\source\Random.hh,Random.hh,.hh,BSR\bench\source,unspecified,Unknown / custom,3463,0.003303,4eed3ada44aa71063a0683573eb443628612381f1d1e872259dba8245bfa5021,,False
BSR\bench\source\README,README,[no extension],BSR\bench\source,unspecified,Unknown / custom,186,0.000177,0db11aa16b81e088dcc7817dd49e0f476bd232590d16f26bdcc81a3f3cfb8ad5,,False
BSR\bench\source\Sort.hh,Sort.hh,.hh,BSR\bench\source,unspecified,Unknown / custom,7593,0.007241,0afbddc04978693c0265d2cb3e3e527834340c74e6291521bee1b5a401001bdd,,False
BSR\bench\source\String.cc,String.cc,.cc,BSR\bench\source,unspecified,Unknown / custom,3775,0.0036,906dcc9dcaf2522dc172bf476b7e842cca41c75ac64e5cd8d2ca03cfc4c6d610,,False
BSR\bench\source\String.hh,String.hh,.hh,BSR\bench\source,unspecified,Unknown / custom,4583,0.004371,4047906d68d6cd98128437cafdc69c823109dd1900c18db867306f3c3b8761b2,,False
BSR\bench\source\Timer.cc,Timer.cc,.cc,BSR\bench\source,unspecified,Unknown / custom,2416,0.002304,0ae1dd28e8284b2c3a56c02809d9c68bc529a6596da024c117e46264cccd2b73,,False
BSR\bench\source\Timer.hh,Timer.hh,.hh,BSR\bench\source,unspecified,Unknown / custom,2612,0.002491,0b8025a5b7bfa41088688c40f72c87703de86d68eb6314bb84689c97352e4c1f,,False
BSR\bench\test_benchs.m,test_benchs.m,.m,BSR\bench,unspecified,Unknown / custom,1544,0.001472,7054109117909c835335403bdda58a6708a1596b8acd565bbc211b32cd8c6aaf,,False
BSR\BSDS500\data\groundTruth\test\100007.mat,100007.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,36761,0.035058,2868fa6eba02fa633865fc4e907a84d30fe30984656417a93f74b428fc746e27,,False
BSR\BSDS500\data\groundTruth\test\100039.mat,100039.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,33415,0.031867,80499f45c3dc61fe1b1ea15a8be43e2b8e7c9cf56d077c792d42d56050abf2ee,,False
BSR\BSDS500\data\groundTruth\test\100099.mat,100099.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,36734,0.035032,ecd3662da9dfc32c6783733b8e035db1eaa218fe45f62115df58ac8d7bf4930b,,False
BSR\BSDS500\data\groundTruth\test\10081.mat,10081.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,36378,0.034693,a2de3f018837252c079bdab4d8f23dd303d1d353dbeee68894ad50d493eee653,,False
BSR\BSDS500\data\groundTruth\test\101027.mat,101027.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,39007,0.0372,51a5b32d73e84e107e2a5dfcee512578cac51fbe4de2bc3bb936cdaea58e9d9e,,False
BSR\BSDS500\data\groundTruth\test\101084.mat,101084.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,49013,0.046742,76c530223bb67259936b241eebb1831a945fde85bce2e37c47785eb5188c2a57,,False
BSR\BSDS500\data\groundTruth\test\102062.mat,102062.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,41959,0.040015,c361de764a7f0b7dc3d7a44e0ee9472a974af34cc70355d97d7d1b7b3a420e95,,False
BSR\BSDS500\data\groundTruth\test\103006.mat,103006.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,37732,0.035984,474b2310b899ada4618d0cfdc5c7c78910397a91a9e2adba30606cd795d6bc89,,False
BSR\BSDS500\data\groundTruth\test\103029.mat,103029.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,61736,0.058876,171309d086397e13069c5ddb665295b79a7315add72d6a2b17a110329f0cd2e3,,False
BSR\BSDS500\data\groundTruth\test\103078.mat,103078.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,46646,0.044485,f776a670125906e6ee6ed8fcb19bcd389e929af75870dc860f828c075df87ae0,,False
BSR\BSDS500\data\groundTruth\test\104010.mat,104010.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,38633,0.036843,ea5169500751342376ad2c06b34efae2f00becfea48d4e5b4fbd0fdd8f860be2,,False
BSR\BSDS500\data\groundTruth\test\104055.mat,104055.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,47409,0.045213,221d75387ab262d3787b91e330d37df5f89549607aeb8d0d283963801f7d3786,,False
BSR\BSDS500\data\groundTruth\test\105027.mat,105027.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,28192,0.026886,81536b161baa9f042a9e9fa712e7a2db5cd169f72893e1d7f0431f2e1ee72b07,,False
BSR\BSDS500\data\groundTruth\test\106005.mat,106005.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,33357,0.031812,bd2d3b2d3ca0ee42aabe4d768ffc2f6ee5d26fe8aca0a0f31961269fd1413f00,,False
BSR\BSDS500\data\groundTruth\test\106047.mat,106047.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,24935,0.02378,72bafe5f50a154c62f2ffebc4cf4589727603e5b7c55c3e4b9dd9de3147d5bd6,,False
BSR\BSDS500\data\groundTruth\test\107014.mat,107014.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,46391,0.044242,b06c6466798e1033ecdfe706d21ac59cff15fb0d03a15081b2223b295b037e5b,,False
BSR\BSDS500\data\groundTruth\test\107045.mat,107045.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,43574,0.041555,85349bb8158c3ecc47417c0cb3ee7ad5ba25bdcbc13165705582658890a72edf,,False
BSR\BSDS500\data\groundTruth\test\107072.mat,107072.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,56707,0.05408,94eb11fbcefe2977c5d934b3c210a813acf4a8038262a19789ab72f2c89f05dc,,False
BSR\BSDS500\data\groundTruth\test\108004.mat,108004.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,32047,0.030562,00821aae45c44deb5023e95af8c544c18ea83e41e5b1dfddf545ecf50690a924,,False
BSR\BSDS500\data\groundTruth\test\108036.mat,108036.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,40364,0.038494,d38b2cfe66de23e9fd3acef57d0fcecc90b2b7fa41cc1d6583c712b0566c23dc,,False
BSR\BSDS500\data\groundTruth\test\108069.mat,108069.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,24796,0.023647,2b352334c40eced96d3746a416f82598cd67f9b951e87deaa0b5c356adf5bf16,,False
BSR\BSDS500\data\groundTruth\test\109055.mat,109055.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,31657,0.03019,bdb625ec59011354758458eb08d45534073aafa640de81bc6a20f6bf670eaf75,,False
BSR\BSDS500\data\groundTruth\test\112056.mat,112056.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,41749,0.039815,e814b686309bdb88b60fd5dd29822f6c404ba8644f2c61bc57cee05337f19ef1,,False
BSR\BSDS500\data\groundTruth\test\112090.mat,112090.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,44508,0.042446,ac3562ef65d62383976613f8f411e52f15706da182685d996f2874e3050a5178,,False
BSR\BSDS500\data\groundTruth\test\117025.mat,117025.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,43605,0.041585,b6a4b62885fd50d0735be65ed1f9d2c51f542594e42b4f740681c2c9c9b21937,,False
BSR\BSDS500\data\groundTruth\test\118015.mat,118015.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,45947,0.043818,22bed2158fee76a456d2d8fcbdb03d8c757ae02ab0a2c0883c193a8923d62f43,,False
BSR\BSDS500\data\groundTruth\test\118031.mat,118031.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,44795,0.04272,f389b9fb81f7aae06a7dc3fa806ace6a4d53cf29e509c3153ac3958e4968e13b,,False
BSR\BSDS500\data\groundTruth\test\118072.mat,118072.mat,.mat,BSR\BSDS500\data\groundTruth\test,test,BSDS500,49897,0.047585,60eefc9d8e147f56693a91fe71b3962564ccd28457cf539ce639a2cc2d9194b8,,False
