oa_rank,title,doi,relevance_tier,novelty_threat,overlap_score,reason,local_pdf
30,An Enhanced Medical Image Denoising Approach Using Harris Hawks Optimization Algorithm with Transform-Based Filtering,10.55248/gengpi.07.0726.19107,METHOD,LOW,22.2,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\030_2026_An_Enhanced_Medical_Image_Denoising_Approach_Using_Harris_Hawks_Optimization_Algorithm_with_Transform-Based_Filtering.pdf
33,A New Hybrid Harris Hawks Optimization (HHO) and Particle Swarm Optimization (PSO) Algorithm for the Design of Castellated Beams,10.21203/rs.3.rs-2608871/v1,METHOD,LOW,15.6,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\033_NA_A_New_Hybrid_Harris_Hawks_Optimization_(HHO)_and_Particle_Swarm_Optimization_(PSO)_Algorithm_for_the_Design_of_Castellated_Be.pdf
34,Optimizing the Steering of Driverless Personal Mobility Pods with a Novel Differential Harris Hawks Optimization Algorithm (DHHO) and Encoder Modeling,10.3390/s24144650,METHOD,LOW,11.1,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\034_2024_Optimizing_the_Steering_of_Driverless_Personal_Mobility_Pods_with_a_Novel_Differential_Harris_Hawks_Optimization_Algorithm_(D.pdf
39,Design and implementation of image data sharing through a visual cryptography system with one-time password authentication.,10.1038/s41598-026-58613-9,CORE,VERY_HIGH,66.7,conclusion_section_not_detected; high_novelty_overlap_requires_full_manual_read,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\039_2026_Design_and_implementation_of_image_data_sharing_through_a_visual_cryptography_system_with_one-time_password_authentication.pdf
40,"An Efficient (n, n) Visual Secret Image Sharing using Random Grids with XOR Recovery",10.5815/ijcnis.2019.11.02,CORE,LOW,22.2,methods_section_not_detected; conclusion_section_not_detected,"D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\040_2019_An_Efficient_(n,_n)_Visual_Secret_Image_Sharing_using_Random_Grids_with_XOR_Recovery.pdf"
41,Improved Harris Hawks Optimization Algorithm for Solving Real Engineering Optimization Problems,10.21203/rs.3.rs-2503586/v1,METHOD,LOW,28.9,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\041_NA_Improved_Harris_Hawks_Optimization_Algorithm_for_Solving_Real_Engineering_Optimization_Problems.pdf
42,Optimasi Ukuran Penampang pada Struktur Rangka Batang Ruang dengan Binary Dragonfly Algorithm,10.30737/jurmateks.v6i1.4709,METHOD,LOW,11.1,conclusion_section_not_detected; optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\042_2023_Optimasi_Ukuran_Penampang_pada_Struktur_Rangka_Batang_Ruang_dengan_Binary_Dragonfly_Algorithm.pdf
43,Enhancing spam detection using Harris Hawks optimization algorithm,10.12928/telkomnika.v23i2.26615,METHOD,LOW,11.1,optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\043_2025_Enhancing_spam_detection_using_Harris_Hawks_optimization_algorithm.pdf
44,Modified Elgamal based Visual Cryptography via Hybrid Optimization Framework,10.46253/j.mr.v7i1.a5,CORE,LOW,33.3,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\044_2024_Modified_Elgamal_based_Visual_Cryptography_via_Hybrid_Optimization_Framework.pdf
45,A Novel Hybrid Harris Hawks Optimization for Color Image Multilevel Thresholding Segmentation,10.1109/access.2019.2921545,METHOD,LOW,26.7,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\045_2019_A_Novel_Hybrid_Harris_Hawks_Optimization_for_Color_Image_Multilevel_Thresholding_Segmentation.pdf
46,Use Harris Hawks Optimization (HHO) Algorithm based on Artificial Neural Network for liver disease diagnosis,10.58190/icisna.2024.81,METHOD,LOW,11.1,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\046_2024_Use_Harris_Hawks_Optimization_(HHO)_Algorithm_based_on_Artificial_Neural_Network_for_liver_disease_diagnosis.pdf
47,Hybrid Aquila optimizer–Harris Hawks optimization for CNN hyperparameter tuning in brain tumor classification,10.1038/s41598-026-43329-7,METHOD,LOW,13.3,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\047_2026_Hybrid_Aquila_optimizerHarris_Hawks_optimization_for_CNN_hyperparameter_tuning_in_brain_tumor_classification.pdf
50,WITHDRAWN: Energy-efficient Clustering Protocol Using an Improved Binary Dragonfly Algorithm and Mamdani Fuzzy Inference System in Wireless Sensor Networks,10.21203/rs.3.rs-3972159/v1,EXCLUDE,LOW,11.1,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\050_NA_WITHDRAWN_Energy-efficient_Clustering_Protocol_Using_an_Improved_Binary_Dragonfly_Algorithm_and_Mamdani_Fuzzy_Inference_Syste.pdf
51,Image Encryption An Intelligent Approach of Color Visual Cryptography,10.5120/14442-2601,CORE,LOW,26.7,methods_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\051_2013_Image_Encryption_An_Intelligent_Approach_of_Color_Visual_Cryptography.pdf
52,Multi-Objective Harris Hawks Optimization Algorithm Based 2-Hop Routing Algorithm for CR-VANET,10.1109/access.2021.3072922,METHOD,LOW,15.6,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\052_2021_Multi-Objective_Harris_Hawks_Optimization_Algorithm_Based_2-Hop_Routing_Algorithm_for_CR-VANET.pdf
53,HHO-LPWSN: Harris Hawks Optimization Algorithm for Sensor Nodes Localization Problem in Wireless Sensor Networks,10.4108/eai.25-2-2021.168807,METHOD,LOW,11.1,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\053_2018_HHO-LPWSN_Harris_Hawks_Optimization_Algorithm_for_Sensor_Nodes_Localization_Problem_in_Wireless_Sensor_Networks.pdf
55,PERBANDINGAN SUPPORT VECTOR MACHINE DAN DECISION TREE MENGGUNAKAN BINARY DRAGONFLY ALGORITHM PADA KLASIFIKASI INDEKS KHUSUS PENANGANAN STUNTING (IKPS) KABUPATEN/KOTA DI INDONESIA,10.26740/mathunesa.v13n1.p236-245,METHOD,LOW,13.3,conclusion_section_not_detected; optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\055_2025_PERBANDINGAN_SUPPORT_VECTOR_MACHINE_DAN_DECISION_TREE_MENGGUNAKAN_BINARY_DRAGONFLY_ALGORITHM_PADA_KLASIFIKASI_INDEKS_KHUSUS_P.pdf
57,Infrared and visible image fusion using GAN with fuzzy logic and Harris Hawks optimization,10.1038/s41598-025-29417-0,METHOD,LOW,26.7,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\057_2025_Infrared_and_visible_image_fusion_using_GAN_with_fuzzy_logic_and_Harris_Hawks_optimization.pdf
59,Hybrid Binary Grey Wolf With Harris Hawks Optimizer for Feature Selection,10.1109/access.2021.3060096,METHOD,LOW,31.1,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\059_2021_Hybrid_Binary_Grey_Wolf_With_Harris_Hawks_Optimizer_for_Feature_Selection.pdf
61,A hybrid Harris Hawks Optimization with Support Vector Regression for air quality forecasting,10.1038/s41598-025-86275-6,METHOD,LOW,13.3,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\061_2025_A_hybrid_Harris_Hawks_Optimization_with_Support_Vector_Regression_for_air_quality_forecasting.pdf
63,Predicting Di-2-Ethylhexyl Phthalate Toxicity: Hybrid Integrated Harris Hawks Optimization With Support Vector Machines,10.1109/access.2020.3020895,METHOD,LOW,20.0,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\063_2020_Predicting_Di-2-Ethylhexyl_Phthalate_Toxicity_Hybrid_Integrated_Harris_Hawks_Optimization_With_Support_Vector_Machines.pdf
64,An Improved Harris Hawks Optimization Algorithm With Simulated Annealing for Feature Selection in the Medical Field,10.1109/access.2020.3029728,METHOD,LOW,15.6,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\064_2020_An_Improved_Harris_Hawks_Optimization_Algorithm_With_Simulated_Annealing_for_Feature_Selection_in_the_Medical_Field.pdf
65,An Improved Harris Hawks Optimization (HHO) Algorithm,10.21203/rs.3.rs-6379965/v1,METHOD,LOW,11.1,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\065_NA_An_Improved_Harris_Hawks_Optimization_(HHO)_Algorithm.pdf
67,Survey on computational intelligence based image encryption techniques,10.11591/ijeecs.v19.i3.pp1428-1435,CORE,LOW,26.7,methods_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\067_2020_Survey_on_computational_intelligence_based_image_encryption_techniques.pdf
68,A Secure and Verifiable Color Visual Cryptography Scheme with LSB Based Image Steganography,10.30534/ijatcse/2021/031042021,CORE,LOW,42.2,methods_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\068_2021_A_Secure_and_Verifiable_Color_Visual_Cryptography_Scheme_with_LSB_Based_Image_Steganography.pdf
70,Hybrid Binary Dragonfly Algorithm with Simulated Annealing for Feature Selection,10.1007/s42979-021-00687-5,METHOD,LOW,11.1,abstract_not_detected; conclusion_section_not_detected; optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\070_2021_Hybrid_Binary_Dragonfly_Algorithm_with_Simulated_Annealing_for_Feature_Selection.pdf
71,Cooperative multi-population Harris Hawks optimization for many-objective optimization,10.1007/s40747-022-00670-4,METHOD,LOW,15.6,optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\071_2022_Cooperative_multi-population_Harris_Hawks_optimization_for_many-objective_optimization.pdf
73,Parameter optimization of shared electric vehicle dispatching model using discrete Harris hawks optimization.,10.3934/mbe.2022344,METHOD,LOW,17.8,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\073_2022_Parameter_optimization_of_shared_electric_vehicle_dispatching_model_using_discrete_Harris_hawks_optimization.pdf
74,A hybrid algorithm of grey wolf optimizer and harris hawks optimization for solving global optimization problems with improved convergence performance,10.1038/s41598-023-49754-2,METHOD,LOW,17.8,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\074_2023_A_hybrid_algorithm_of_grey_wolf_optimizer_and_harris_hawks_optimization_for_solving_global_optimization_problems_with_improve.pdf
75,An efficient hybrid classification approach for COVID-19 based on Harris Hawks Optimization and Salp Swarm Optimization,10.3991/ijoe.v18i13.33195,METHOD,LOW,17.8,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\075_2022_An_efficient_hybrid_classification_approach_for_COVID-19_based_on_Harris_Hawks_Optimization_and_Salp_Swarm_Optimization.pdf
76,HHO-UNet-IAA: Harris Hawks Optimization based novel UNet-inception attention architecture for glaucoma segmentation,10.1007/s41870-025-02417-z,METHOD,LOW,11.1,conclusion_section_not_detected; optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\076_2025_HHO-UNet-IAA_Harris_Hawks_Optimization_based_novel_UNet-inception_attention_architecture_for_glaucoma_segmentation.pdf
79,Multi-Neighborhood Enhanced Harris Hawks Optimization for Efficient Allocation of Hybrid Renewable Energy System with Cost and Emission Reduction,10.32604/cmes.2025.064636,METHOD,LOW,15.6,abstract_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\079_2025_Multi-Neighborhood_Enhanced_Harris_Hawks_Optimization_for_Efficient_Allocation_of_Hybrid_Renewable_Energy_System_with_Cost_an.pdf
80,A prediction model for microseismic signals based on kernel extreme learning machine optimized by Harris Hawks algorithm,10.1038/s41598-025-24211-4,METHOD,LOW,28.9,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\080_2025_A_prediction_model_for_microseismic_signals_based_on_kernel_extreme_learning_machine_optimized_by_Harris_Hawks_algorithm.pdf
81,Harris Hawks Optimization for Optimum Design of Truss Structures with Discrete Variables,10.33889/ijmems.2021.6.4.069,METHOD,LOW,15.6,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\081_2021_Harris_Hawks_Optimization_for_Optimum_Design_of_Truss_Structures_with_Discrete_Variables.pdf
82,Computing Connected Resolvability of Graphs Using Binary Enhanced Harris Hawks Optimization,10.32604/iasc.2023.032930,METHOD,LOW,28.9,optimizer_detected_but_fitness_function_not_extracted,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\082_2023_Computing_Connected_Resolvability_of_Graphs_Using_Binary_Enhanced_Harris_Hawks_Optimization.pdf
83,Adaptive Hybrid Harris Hawks Optimization with Differential Evolution for Maximizing Network Lifetime under MDCCKC Constraints in Heterogeneous Wireless Sensor Networks,10.18535/ijecs/v15i03.5472,METHOD,LOW,15.6,abstract_not_detected; conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\083_2026_Adaptive_Hybrid_Harris_Hawks_Optimization_with_Differential_Evolution_for_Maximizing_Network_Lifetime_under_MDCCKC_Constraint.pdf
85,Segmentation of Brain MRI using an Altruistic Harris Hawks' Optimization algorithm,10.1016/j.knosys.2021.107468,METHOD,LOW,22.2,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\085_2021_Segmentation_of_Brain_MRI_using_an_Altruistic_Harris_Hawks'_Optimization_algorithm.pdf
87,Aware Node Localization in Wireless Sensor Networks Using Harris Hawks Optimization,10.26636/jtit.2025.4.2285,METHOD,LOW,11.1,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\087_2025_Aware_Node_Localization_in_Wireless_Sensor_Networks_Using_Harris_Hawks_Optimization.pdf
89,A Multi-Layer Visual Cryptography Framework with Adaptive Key Optimization and Kronecker Product-Based Diffusion,10.18280/ijsse.160514,CORE,LOW,22.2,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\089_2026_A_Multi-Layer_Visual_Cryptography_Framework_with_Adaptive_Key_Optimization_and_Kronecker_Product-Based_Diffusion.pdf
90,Size-Invariant Visual Cryptography With Improved Perceptual Quality for Grayscale Image,10.1109/access.2020.3021522,CORE,LOW,44.4,methods_section_not_detected; conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\090_2020_Size-Invariant_Visual_Cryptography_With_Improved_Perceptual_Quality_for_Grayscale_Image.pdf
91,Optimal Placement of DGs in Distribution System Using an Improved Harris Hawks Optimizer Based on Single- and Multi-Objective Approaches,10.1109/access.2020.2980245,METHOD,LOW,11.1,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\091_2020_Optimal_Placement_of_DGs_in_Distribution_System_Using_an_Improved_Harris_Hawks_Optimizer_Based_on_Single-_and_Multi-Objective.pdf
93,A Robust Visual Cryptography Technique for Photographic Grayscale Images Using Block Optimization and Blind Invisible Watermarking,10.7763/ijcte.2012.v4.469,CORE,LOW,15.6,methods_section_not_detected; conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\093_2012_A_Robust_Visual_Cryptography_Technique_for_Photographic_Grayscale_Images_Using_Block_Optimization_and_Blind_Invisible_Waterma.pdf
94,Enhanced harris hawks optimization based load frequency control of multi area microgrid based water treatment plant with consideration of 3DOF-(FO-PIDN)/(TIDN) controller,10.3389/fenrg.2024.1387780,METHOD,LOW,15.6,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\094_2024_Enhanced_harris_hawks_optimization_based_load_frequency_control_of_multi_area_microgrid_based_water_treatment_plant_with_cons.pdf
95,An aseptic approach towards skin lesion localization and grading using deep learning and harris hawks optimization,10.1007/s11042-023-16201-3,METHOD,LOW,28.9,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\095_2023_An_aseptic_approach_towards_skin_lesion_localization_and_grading_using_deep_learning_and_harris_hawks_optimization.pdf
98,Improved Harris Hawks Optimization Based on Adaptive Cooperative Foraging and Dispersed Foraging Strategies,10.1109/access.2020.3013332,METHOD,LOW,15.6,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\098_2020_Improved_Harris_Hawks_Optimization_Based_on_Adaptive_Cooperative_Foraging_and_Dispersed_Foraging_Strategies.pdf
99,Harris Hawks Optimization for Soil Water Content Estimation in Ground-Penetrating Radar Waveform Inversion,10.3390/rs17081436,METHOD,LOW,13.3,conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\099_2025_Harris_Hawks_Optimization_for_Soil_Water_Content_Estimation_in_Ground-Penetrating_Radar_Waveform_Inversion.pdf
100,IBDA: Improved Binary Dragonfly Algorithm With Evolutionary Population Dynamics and Adaptive Crossover for Feature Selection,10.1109/access.2020.3001204,METHOD,LOW,15.6,abstract_not_detected; conclusion_section_not_detected,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\100_2020_IBDA_Improved_Binary_Dragonfly_Algorithm_With_Evolutionary_Population_Dynamics_and_Adaptive_Crossover_for_Feature_Selection.pdf
