oa_rank,title,year,doi,relevance_tier,metric,novelty_threat
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,UACI,HIGH
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,Entropy,HIGH
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,Correlation,HIGH
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,Execution time,HIGH
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,Pixel expansion,HIGH
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,Key space,HIGH
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,Histogram,HIGH
1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,2025.0,10.58346/jowua.2025.i1.009,CORE,NIST,HIGH
90,Size-Invariant Visual Cryptography With Improved Perceptual Quality for Grayscale Image,2020.0,10.1109/access.2020.3021522,CORE,PSNR,LOW
90,Size-Invariant Visual Cryptography With Improved Perceptual Quality for Grayscale Image,2020.0,10.1109/access.2020.3021522,CORE,SSIM,LOW
90,Size-Invariant Visual Cryptography With Improved Perceptual Quality for Grayscale Image,2020.0,10.1109/access.2020.3021522,CORE,Correlation,LOW
90,Size-Invariant Visual Cryptography With Improved Perceptual Quality for Grayscale Image,2020.0,10.1109/access.2020.3021522,CORE,Pixel expansion,LOW
90,Size-Invariant Visual Cryptography With Improved Perceptual Quality for Grayscale Image,2020.0,10.1109/access.2020.3021522,CORE,Contrast,LOW
90,Size-Invariant Visual Cryptography With Improved Perceptual Quality for Grayscale Image,2020.0,10.1109/access.2020.3021522,CORE,Histogram,LOW
68,A Secure and Verifiable Color Visual Cryptography Scheme with LSB Based Image Steganography,2021.0,10.30534/ijatcse/2021/031042021,CORE,PSNR,LOW
68,A Secure and Verifiable Color Visual Cryptography Scheme with LSB Based Image Steganography,2021.0,10.30534/ijatcse/2021/031042021,CORE,MSE,LOW
68,A Secure and Verifiable Color Visual Cryptography Scheme with LSB Based Image Steganography,2021.0,10.30534/ijatcse/2021/031042021,CORE,SSIM,LOW
68,A Secure and Verifiable Color Visual Cryptography Scheme with LSB Based Image Steganography,2021.0,10.30534/ijatcse/2021/031042021,CORE,Correlation,LOW
68,A Secure and Verifiable Color Visual Cryptography Scheme with LSB Based Image Steganography,2021.0,10.30534/ijatcse/2021/031042021,CORE,Pixel expansion,LOW
68,A Secure and Verifiable Color Visual Cryptography Scheme with LSB Based Image Steganography,2021.0,10.30534/ijatcse/2021/031042021,CORE,Contrast,LOW
8,A Tabu Search Algorithm for General Threshold Visual Cryptography Schemes,2021.0,10.18280/isi.260310,CORE,PSNR,LOW
8,A Tabu Search Algorithm for General Threshold Visual Cryptography Schemes,2021.0,10.18280/isi.260310,CORE,SSIM,LOW
8,A Tabu Search Algorithm for General Threshold Visual Cryptography Schemes,2021.0,10.18280/isi.260310,CORE,Correlation,LOW
8,A Tabu Search Algorithm for General Threshold Visual Cryptography Schemes,2021.0,10.18280/isi.260310,CORE,Pixel expansion,LOW
8,A Tabu Search Algorithm for General Threshold Visual Cryptography Schemes,2021.0,10.18280/isi.260310,CORE,Contrast,LOW
12,Lossless Recovery Scheme for Grayscale Visual Cryptography Based on Random Grids,2025.0,10.52783/jisem.v10i22s.3613,CORE,PSNR,LOW
12,Lossless Recovery Scheme for Grayscale Visual Cryptography Based on Random Grids,2025.0,10.52783/jisem.v10i22s.3613,CORE,MSE,LOW
12,Lossless Recovery Scheme for Grayscale Visual Cryptography Based on Random Grids,2025.0,10.52783/jisem.v10i22s.3613,CORE,SSIM,LOW
12,Lossless Recovery Scheme for Grayscale Visual Cryptography Based on Random Grids,2025.0,10.52783/jisem.v10i22s.3613,CORE,Entropy,LOW
12,Lossless Recovery Scheme for Grayscale Visual Cryptography Based on Random Grids,2025.0,10.52783/jisem.v10i22s.3613,CORE,Pixel expansion,LOW
12,Lossless Recovery Scheme for Grayscale Visual Cryptography Based on Random Grids,2025.0,10.52783/jisem.v10i22s.3613,CORE,Contrast,LOW
12,Lossless Recovery Scheme for Grayscale Visual Cryptography Based on Random Grids,2025.0,10.52783/jisem.v10i22s.3613,CORE,Histogram,LOW
44,Modified Elgamal based Visual Cryptography via Hybrid Optimization Framework,2024.0,10.46253/j.mr.v7i1.a5,CORE,PSNR,LOW
44,Modified Elgamal based Visual Cryptography via Hybrid Optimization Framework,2024.0,10.46253/j.mr.v7i1.a5,CORE,MSE,LOW
44,Modified Elgamal based Visual Cryptography via Hybrid Optimization Framework,2024.0,10.46253/j.mr.v7i1.a5,CORE,Correlation,LOW
44,Modified Elgamal based Visual Cryptography via Hybrid Optimization Framework,2024.0,10.46253/j.mr.v7i1.a5,CORE,Pixel expansion,LOW
10,Grouped k-threshold random grid-based visual cryptography scheme,2025.0,10.48550/arxiv.2508.05394,CORE,Pixel expansion,LOW
10,Grouped k-threshold random grid-based visual cryptography scheme,2025.0,10.48550/arxiv.2508.05394,CORE,Contrast,LOW
51,Image Encryption An Intelligent Approach of Color Visual Cryptography,2013.0,10.5120/14442-2601,CORE,Contrast,LOW
67,Survey on computational intelligence based image encryption techniques,2020.0,10.11591/ijeecs.v19.i3.pp1428-1435,CORE,NPCR,LOW
67,Survey on computational intelligence based image encryption techniques,2020.0,10.11591/ijeecs.v19.i3.pp1428-1435,CORE,UACI,LOW
67,Survey on computational intelligence based image encryption techniques,2020.0,10.11591/ijeecs.v19.i3.pp1428-1435,CORE,Entropy,LOW
67,Survey on computational intelligence based image encryption techniques,2020.0,10.11591/ijeecs.v19.i3.pp1428-1435,CORE,Correlation,LOW
67,Survey on computational intelligence based image encryption techniques,2020.0,10.11591/ijeecs.v19.i3.pp1428-1435,CORE,Key space,LOW
67,Survey on computational intelligence based image encryption techniques,2020.0,10.11591/ijeecs.v19.i3.pp1428-1435,CORE,Histogram,LOW
78,Adaptive Particle Swarm Optimization Data Hiding for High Security Secret Image Sharing,2022.0,10.32604/csse.2022.022459,CORE,PSNR,LOW
78,Adaptive Particle Swarm Optimization Data Hiding for High Security Secret Image Sharing,2022.0,10.32604/csse.2022.022459,CORE,MSE,LOW
78,Adaptive Particle Swarm Optimization Data Hiding for High Security Secret Image Sharing,2022.0,10.32604/csse.2022.022459,CORE,Entropy,LOW
78,Adaptive Particle Swarm Optimization Data Hiding for High Security Secret Image Sharing,2022.0,10.32604/csse.2022.022459,CORE,Correlation,LOW
78,Adaptive Particle Swarm Optimization Data Hiding for High Security Secret Image Sharing,2022.0,10.32604/csse.2022.022459,CORE,Contrast,LOW
78,Adaptive Particle Swarm Optimization Data Hiding for High Security Secret Image Sharing,2022.0,10.32604/csse.2022.022459,CORE,Histogram,LOW
78,Adaptive Particle Swarm Optimization Data Hiding for High Security Secret Image Sharing,2022.0,10.32604/csse.2022.022459,CORE,BER,LOW
40,"An Efficient (n, n) Visual Secret Image Sharing using Random Grids with XOR Recovery",2019.0,10.5815/ijcnis.2019.11.02,CORE,Pixel expansion,LOW
40,"An Efficient (n, n) Visual Secret Image Sharing using Random Grids with XOR Recovery",2019.0,10.5815/ijcnis.2019.11.02,CORE,Contrast,LOW
89,A Multi-Layer Visual Cryptography Framework with Adaptive Key Optimization and Kronecker Product-Based Diffusion,2026.0,10.18280/ijsse.160514,CORE,MSE,LOW
89,A Multi-Layer Visual Cryptography Framework with Adaptive Key Optimization and Kronecker Product-Based Diffusion,2026.0,10.18280/ijsse.160514,CORE,Entropy,LOW
89,A Multi-Layer Visual Cryptography Framework with Adaptive Key Optimization and Kronecker Product-Based Diffusion,2026.0,10.18280/ijsse.160514,CORE,Correlation,LOW
89,A Multi-Layer Visual Cryptography Framework with Adaptive Key Optimization and Kronecker Product-Based Diffusion,2026.0,10.18280/ijsse.160514,CORE,Histogram,LOW
93,A Robust Visual Cryptography Technique for Photographic Grayscale Images Using Block Optimization and Blind Invisible Watermarking,2012.0,10.7763/ijcte.2012.v4.469,CORE,PSNR,LOW
93,A Robust Visual Cryptography Technique for Photographic Grayscale Images Using Block Optimization and Blind Invisible Watermarking,2012.0,10.7763/ijcte.2012.v4.469,CORE,Correlation,LOW
26,"A Novel Integration of Proximal Policy Optimization, In-Memory Computing and Visual Cryptography for Secure Image Encryption",2025.0,10.55248/gengpi.6.0625.22135,CORE,PSNR,LOW
26,"A Novel Integration of Proximal Policy Optimization, In-Memory Computing and Visual Cryptography for Secure Image Encryption",2025.0,10.55248/gengpi.6.0625.22135,CORE,SSIM,LOW
26,"A Novel Integration of Proximal Policy Optimization, In-Memory Computing and Visual Cryptography for Secure Image Encryption",2025.0,10.55248/gengpi.6.0625.22135,CORE,Execution time,LOW
26,"A Novel Integration of Proximal Policy Optimization, In-Memory Computing and Visual Cryptography for Secure Image Encryption",2025.0,10.55248/gengpi.6.0625.22135,CORE,Pixel expansion,LOW
26,"A Novel Integration of Proximal Policy Optimization, In-Memory Computing and Visual Cryptography for Secure Image Encryption",2025.0,10.55248/gengpi.6.0625.22135,CORE,Key space,LOW
77,A novel dynamic Optuna hybrid Harris Hawks Optimization approach for classification of CAD,2026.0,10.1371/journal.pone.0353605,METHOD,Contrast,LOW
6,Feature Selection and Classification of Microarray Datasets Based on an Improved Binary Harris Hawks Optimization Algorithm,2025.0,10.14569/ijacsa.2025.0160884,METHOD,Entropy,LOW
6,Feature Selection and Classification of Microarray Datasets Based on an Improved Binary Harris Hawks Optimization Algorithm,2025.0,10.14569/ijacsa.2025.0160884,METHOD,Correlation,LOW
6,Feature Selection and Classification of Microarray Datasets Based on an Improved Binary Harris Hawks Optimization Algorithm,2025.0,10.14569/ijacsa.2025.0160884,METHOD,Execution time,LOW
6,Feature Selection and Classification of Microarray Datasets Based on an Improved Binary Harris Hawks Optimization Algorithm,2025.0,10.14569/ijacsa.2025.0160884,METHOD,Contrast,LOW
4,Dynamic Complex Protein Detection using Binary Harris Hawks Optimization,2020.0,10.1088/1742-6596/1642/1/012019,METHOD,Correlation,LOW
4,Dynamic Complex Protein Detection using Binary Harris Hawks Optimization,2020.0,10.1088/1742-6596/1642/1/012019,METHOD,Contrast,LOW
5,Smart Fraud Detection in E-Transactions Using Synthetic Minority Oversampling and Binary Harris Hawks Optimization,2023.0,10.32604/cmc.2023.036865,METHOD,Entropy,LOW
5,Smart Fraud Detection in E-Transactions Using Synthetic Minority Oversampling and Binary Harris Hawks Optimization,2023.0,10.32604/cmc.2023.036865,METHOD,Contrast,LOW
59,Hybrid Binary Grey Wolf With Harris Hawks Optimizer for Feature Selection,2021.0,10.1109/access.2021.3060096,METHOD,Correlation,LOW
59,Hybrid Binary Grey Wolf With Harris Hawks Optimizer for Feature Selection,2021.0,10.1109/access.2021.3060096,METHOD,Contrast,LOW
92,Integrated improved Harris hawks optimization for global and engineering optimization,2024.0,10.1038/s41598-024-58029-3,METHOD,Entropy,LOW
97,EHHO-EL: Hybrid Method for Software defect Detection in Software Product Lines using Extended Harris Hawks Optimization and Ensemble Learning,,10.21203/rs.3.rs-5379879/v1,METHOD,Correlation,LOW
97,EHHO-EL: Hybrid Method for Software defect Detection in Software Product Lines using Extended Harris Hawks Optimization and Ensemble Learning,,10.21203/rs.3.rs-5379879/v1,METHOD,Execution time,LOW
97,EHHO-EL: Hybrid Method for Software defect Detection in Software Product Lines using Extended Harris Hawks Optimization and Ensemble Learning,,10.21203/rs.3.rs-5379879/v1,METHOD,Contrast,LOW
3,Feature selection using binary Harris Hawks optimization algorithm to improve K-Means clustering,2025.0,10.19139/soic-2310-5070-2653,METHOD,Execution time,LOW
7,An efficient binary harris hawks optimization based on quantum SVM for cancer classification tasks,2022.0,10.1049/icp.2021.2680,METHOD,Contrast,LOW
9,An Efficient Binary Harris Hawks Optimization based on Quantum SVM for Cancer Classification Tasks,2022.0,,METHOD,Contrast,LOW
13,IHHO: an improved Harris Hawks optimization algorithm for solving engineering problems,2024.0,10.1007/s00521-024-09603-3,METHOD,Contrast,LOW
14,Development and evaluation of hybrid harris hawks optimization algorithms for advanced engineering applications,2025.0,10.1038/s41598-025-23624-5,METHOD,Execution time,LOW
14,Development and evaluation of hybrid harris hawks optimization algorithms for advanced engineering applications,2025.0,10.1038/s41598-025-23624-5,METHOD,Contrast,LOW
41,Improved Harris Hawks Optimization Algorithm for Solving Real Engineering Optimization Problems,,10.21203/rs.3.rs-2503586/v1,METHOD,Contrast,LOW
80,A prediction model for microseismic signals based on kernel extreme learning machine optimized by Harris Hawks algorithm,2025.0,10.1038/s41598-025-24211-4,METHOD,Contrast,LOW
80,A prediction model for microseismic signals based on kernel extreme learning machine optimized by Harris Hawks algorithm,2025.0,10.1038/s41598-025-24211-4,METHOD,Histogram,LOW
82,Computing Connected Resolvability of Graphs Using Binary Enhanced Harris Hawks Optimization,2023.0,10.32604/iasc.2023.032930,METHOD,Execution time,LOW
95,An aseptic approach towards skin lesion localization and grading using deep learning and harris hawks optimization,2023.0,10.1007/s11042-023-16201-3,METHOD,PSNR,LOW
95,An aseptic approach towards skin lesion localization and grading using deep learning and harris hawks optimization,2023.0,10.1007/s11042-023-16201-3,METHOD,MSE,LOW
95,An aseptic approach towards skin lesion localization and grading using deep learning and harris hawks optimization,2023.0,10.1007/s11042-023-16201-3,METHOD,Entropy,LOW
95,An aseptic approach towards skin lesion localization and grading using deep learning and harris hawks optimization,2023.0,10.1007/s11042-023-16201-3,METHOD,Correlation,LOW
95,An aseptic approach towards skin lesion localization and grading using deep learning and harris hawks optimization,2023.0,10.1007/s11042-023-16201-3,METHOD,Contrast,LOW
15,Text encryption using Sosemanuk and Harris Hawks optimization by laser communication,2026.0,10.1038/s41598-026-49137-3,METHOD,Entropy,LOW
15,Text encryption using Sosemanuk and Harris Hawks optimization by laser communication,2026.0,10.1038/s41598-026-49137-3,METHOD,Correlation,LOW
15,Text encryption using Sosemanuk and Harris Hawks optimization by laser communication,2026.0,10.1038/s41598-026-49137-3,METHOD,Execution time,LOW
15,Text encryption using Sosemanuk and Harris Hawks optimization by laser communication,2026.0,10.1038/s41598-026-49137-3,METHOD,Contrast,LOW
15,Text encryption using Sosemanuk and Harris Hawks optimization by laser communication,2026.0,10.1038/s41598-026-49137-3,METHOD,Avalanche,LOW
15,Text encryption using Sosemanuk and Harris Hawks optimization by laser communication,2026.0,10.1038/s41598-026-49137-3,METHOD,Histogram,LOW
15,Text encryption using Sosemanuk and Harris Hawks optimization by laser communication,2026.0,10.1038/s41598-026-49137-3,METHOD,NIST,LOW
15,Text encryption using Sosemanuk and Harris Hawks optimization by laser communication,2026.0,10.1038/s41598-026-49137-3,METHOD,BER,LOW
45,A Novel Hybrid Harris Hawks Optimization for Color Image Multilevel Thresholding Segmentation,2019.0,10.1109/access.2019.2921545,METHOD,PSNR,LOW
45,A Novel Hybrid Harris Hawks Optimization for Color Image Multilevel Thresholding Segmentation,2019.0,10.1109/access.2019.2921545,METHOD,MSE,LOW
45,A Novel Hybrid Harris Hawks Optimization for Color Image Multilevel Thresholding Segmentation,2019.0,10.1109/access.2019.2921545,METHOD,SSIM,LOW
45,A Novel Hybrid Harris Hawks Optimization for Color Image Multilevel Thresholding Segmentation,2019.0,10.1109/access.2019.2921545,METHOD,Entropy,LOW
45,A Novel Hybrid Harris Hawks Optimization for Color Image Multilevel Thresholding Segmentation,2019.0,10.1109/access.2019.2921545,METHOD,Contrast,LOW
45,A Novel Hybrid Harris Hawks Optimization for Color Image Multilevel Thresholding Segmentation,2019.0,10.1109/access.2019.2921545,METHOD,Histogram,LOW
57,Infrared and visible image fusion using GAN with fuzzy logic and Harris Hawks optimization,2025.0,10.1038/s41598-025-29417-0,METHOD,PSNR,LOW
57,Infrared and visible image fusion using GAN with fuzzy logic and Harris Hawks optimization,2025.0,10.1038/s41598-025-29417-0,METHOD,MSE,LOW
57,Infrared and visible image fusion using GAN with fuzzy logic and Harris Hawks optimization,2025.0,10.1038/s41598-025-29417-0,METHOD,SSIM,LOW
57,Infrared and visible image fusion using GAN with fuzzy logic and Harris Hawks optimization,2025.0,10.1038/s41598-025-29417-0,METHOD,Entropy,LOW
57,Infrared and visible image fusion using GAN with fuzzy logic and Harris Hawks optimization,2025.0,10.1038/s41598-025-29417-0,METHOD,Execution time,LOW
57,Infrared and visible image fusion using GAN with fuzzy logic and Harris Hawks optimization,2025.0,10.1038/s41598-025-29417-0,METHOD,Contrast,LOW
57,Infrared and visible image fusion using GAN with fuzzy logic and Harris Hawks optimization,2025.0,10.1038/s41598-025-29417-0,METHOD,Histogram,LOW
69,A hybrid differential evolution based on gaining‑sharing knowledge algorithm and harris hawks optimization,2021.0,10.1371/journal.pone.0250951,METHOD,Contrast,LOW
72,Audio Stegging using Evolutionary Algorithms,2023.0,10.21203/rs.3.rs-2799493/v1,METHOD,PSNR,LOW
72,Audio Stegging using Evolutionary Algorithms,2023.0,10.21203/rs.3.rs-2799493/v1,METHOD,MSE,LOW
72,Audio Stegging using Evolutionary Algorithms,2023.0,10.21203/rs.3.rs-2799493/v1,METHOD,SSIM,LOW
72,Audio Stegging using Evolutionary Algorithms,2023.0,10.21203/rs.3.rs-2799493/v1,METHOD,Contrast,LOW
72,Audio Stegging using Evolutionary Algorithms,2023.0,10.21203/rs.3.rs-2799493/v1,METHOD,Histogram,LOW
30,An Enhanced Medical Image Denoising Approach Using Harris Hawks Optimization Algorithm with Transform-Based Filtering,2026.0,10.55248/gengpi.07.0726.19107,METHOD,PSNR,LOW
30,An Enhanced Medical Image Denoising Approach Using Harris Hawks Optimization Algorithm with Transform-Based Filtering,2026.0,10.55248/gengpi.07.0726.19107,METHOD,MSE,LOW
30,An Enhanced Medical Image Denoising Approach Using Harris Hawks Optimization Algorithm with Transform-Based Filtering,2026.0,10.55248/gengpi.07.0726.19107,METHOD,SSIM,LOW
30,An Enhanced Medical Image Denoising Approach Using Harris Hawks Optimization Algorithm with Transform-Based Filtering,2026.0,10.55248/gengpi.07.0726.19107,METHOD,Entropy,LOW
30,An Enhanced Medical Image Denoising Approach Using Harris Hawks Optimization Algorithm with Transform-Based Filtering,2026.0,10.55248/gengpi.07.0726.19107,METHOD,Correlation,LOW
30,An Enhanced Medical Image Denoising Approach Using Harris Hawks Optimization Algorithm with Transform-Based Filtering,2026.0,10.55248/gengpi.07.0726.19107,METHOD,Execution time,LOW
85,Segmentation of Brain MRI using an Altruistic Harris Hawks' Optimization algorithm,2021.0,10.1016/j.knosys.2021.107468,METHOD,PSNR,LOW
85,Segmentation of Brain MRI using an Altruistic Harris Hawks' Optimization algorithm,2021.0,10.1016/j.knosys.2021.107468,METHOD,MSE,LOW
85,Segmentation of Brain MRI using an Altruistic Harris Hawks' Optimization algorithm,2021.0,10.1016/j.knosys.2021.107468,METHOD,SSIM,LOW
85,Segmentation of Brain MRI using an Altruistic Harris Hawks' Optimization algorithm,2021.0,10.1016/j.knosys.2021.107468,METHOD,Entropy,LOW
85,Segmentation of Brain MRI using an Altruistic Harris Hawks' Optimization algorithm,2021.0,10.1016/j.knosys.2021.107468,METHOD,Correlation,LOW
85,Segmentation of Brain MRI using an Altruistic Harris Hawks' Optimization algorithm,2021.0,10.1016/j.knosys.2021.107468,METHOD,Contrast,LOW
85,Segmentation of Brain MRI using an Altruistic Harris Hawks' Optimization algorithm,2021.0,10.1016/j.knosys.2021.107468,METHOD,Histogram,LOW
48,Influence Maximization in Social Networks using Discretized Harris Hawks Optimization Algorithm and Neighbour Scout Strategy,2022.0,10.48550/arxiv.2211.09683,METHOD,Entropy,LOW
48,Influence Maximization in Social Networks using Discretized Harris Hawks Optimization Algorithm and Neighbour Scout Strategy,2022.0,10.48550/arxiv.2211.09683,METHOD,Correlation,LOW
48,Influence Maximization in Social Networks using Discretized Harris Hawks Optimization Algorithm and Neighbour Scout Strategy,2022.0,10.48550/arxiv.2211.09683,METHOD,Execution time,LOW
56,Influence Maximization in Social Networks using Discretized Harris Hawks Optimization Algorithm and Neighbour Scout Strategy,2022.0,,METHOD,Entropy,LOW
56,Influence Maximization in Social Networks using Discretized Harris Hawks Optimization Algorithm and Neighbour Scout Strategy,2022.0,,METHOD,Correlation,LOW
56,Influence Maximization in Social Networks using Discretized Harris Hawks Optimization Algorithm and Neighbour Scout Strategy,2022.0,,METHOD,Execution time,LOW
63,Predicting Di-2-Ethylhexyl Phthalate Toxicity: Hybrid Integrated Harris Hawks Optimization With Support Vector Machines,2020.0,10.1109/access.2020.3020895,METHOD,Entropy,LOW
63,Predicting Di-2-Ethylhexyl Phthalate Toxicity: Hybrid Integrated Harris Hawks Optimization With Support Vector Machines,2020.0,10.1109/access.2020.3020895,METHOD,Correlation,LOW
11,Multiobjective Economic/Environmental Dispatch Using Harris Hawks Optimization Algorithm,2023.0,10.32604/iasc.2023.028718,METHOD,Correlation,LOW
19,Development A Hybrid Model Based on Harris Hawks Optimization (HHO) Algorithm and Quantum Learning to Diagnosis of Prostate Cancer,2025.0,10.2339/politeknik.1611704,METHOD,MSE,LOW
19,Development A Hybrid Model Based on Harris Hawks Optimization (HHO) Algorithm and Quantum Learning to Diagnosis of Prostate Cancer,2025.0,10.2339/politeknik.1611704,METHOD,Entropy,LOW
36,AHHO: Arithmetic Harris Hawks Optimization algorithm for demand side management in smart grids,2023.0,10.1007/s43926-023-00028-3,METHOD,Entropy,LOW
36,AHHO: Arithmetic Harris Hawks Optimization algorithm for demand side management in smart grids,2023.0,10.1007/s43926-023-00028-3,METHOD,Execution time,LOW
37,Hybrid Harris hawks optimization with cuckoo search for drug design and discovery in chemoinformatics,2020.0,10.1038/s41598-020-71502-z,METHOD,Correlation,LOW
73,Parameter optimization of shared electric vehicle dispatching model using discrete Harris hawks optimization.,2022.0,10.3934/mbe.2022344,METHOD,Entropy,LOW
74,A hybrid algorithm of grey wolf optimizer and harris hawks optimization for solving global optimization problems with improved convergence performance,2023.0,10.1038/s41598-023-49754-2,METHOD,Entropy,LOW
75,An efficient hybrid classification approach for COVID-19 based on Harris Hawks Optimization and Salp Swarm Optimization,2022.0,10.3991/ijoe.v18i13.33195,METHOD,Correlation,LOW
75,An efficient hybrid classification approach for COVID-19 based on Harris Hawks Optimization and Salp Swarm Optimization,2022.0,10.3991/ijoe.v18i13.33195,METHOD,Contrast,LOW
96,Optimizing deep learning with improved Harris Hawks optimization for Alzheimer’s disease detection,2025.0,10.1007/s10462-025-11304-9,METHOD,Entropy,LOW
96,Optimizing deep learning with improved Harris Hawks optimization for Alzheimer’s disease detection,2025.0,10.1007/s10462-025-11304-9,METHOD,Contrast,LOW
17,A hybrid parallel Harris hawks optimization algorithm for reusable launch vehicle reentry trajectory optimization with no-fly zones,2021.0,10.1007/s00500-021-06039-y,METHOD,Contrast,LOW
18,A Hybrid Logistic Regression Model with Harris Hawks Optimization (HHO) Algorithm of Hypertension Determinants among Iraqi Adults,2026.0,10.33899/jes.v35i2.53624,METHOD,Contrast,LOW
21,Enhancing Harris Hawks Optimization Algorithm for Resource Allocation in Cloud Computing Environments,2024.0,10.14569/ijacsa.2024.0150362,METHOD,Execution time,LOW
24,Implementation of Harris Hawks Optimization (HHO) algorithm to solve engineering problems,2021.0,10.5937/tehnika2104439m,METHOD,Execution time,LOW
27,An efficient load balancing in cloud computing using hybrid Harris hawks optimization and cuckoo search algorithm,2023.0,10.19101/ijatee.2022.10100466,METHOD,Execution time,LOW
27,An efficient load balancing in cloud computing using hybrid Harris hawks optimization and cuckoo search algorithm,2023.0,10.19101/ijatee.2022.10100466,METHOD,Contrast,LOW
31,A Hybrid Parallel Harris Hawks Optimization Algorithm for Reusable Launch Vehicle Reentry Trajectory Optimization With No-fly Zones,,10.21203/rs.3.rs-554106/v1,METHOD,Contrast,LOW
35,Gender-based Alzheimer's detection using ResNet-50 and binary dragonfly algorithm on neuroimaging,2025.0,10.3389/frai.2025.1717913,METHOD,Entropy,LOW
35,Gender-based Alzheimer's detection using ResNet-50 and binary dragonfly algorithm on neuroimaging,2025.0,10.3389/frai.2025.1717913,METHOD,Correlation,LOW
35,Gender-based Alzheimer's detection using ResNet-50 and binary dragonfly algorithm on neuroimaging,2025.0,10.3389/frai.2025.1717913,METHOD,Contrast,LOW
38,EEG-based epileptic seizure detection using binary dragonfly algorithm and deep neural network,2023.0,10.1038/s41598-023-44318-w,METHOD,Entropy,LOW
38,EEG-based epileptic seizure detection using binary dragonfly algorithm and deep neural network,2023.0,10.1038/s41598-023-44318-w,METHOD,Correlation,LOW
