experiment_id,dataset,split,experimental_role,relative_to_data,filename,width,height,mode,format,sha256
IMG_0011,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\119082.jpg,119082.jpg,481,321,RGB,JPEG,8cf5ce02395627b797b3da7a3845bcb0da14d66942d422a1c898372b67536d4c
IMG_0012,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\12084.jpg,12084.jpg,481,321,RGB,JPEG,937a95df6a3ded078400451ac163cac6ec20f0ca912c741ae7427d6fca84175d
IMG_0013,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\123074.jpg,123074.jpg,481,321,RGB,JPEG,f47e336f7f3c4da54d5d95b6217e4381ea62a8ff12d061f39da48539794aa82a
IMG_0014,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\126007.jpg,126007.jpg,481,321,RGB,JPEG,4a61a754b422680d24a148430cab10c3bb548aeee3f51ae8dc39cd783ef854ad
IMG_0015,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\130026.jpg,130026.jpg,481,321,RGB,JPEG,ab2865a5f0e54ad3a1b2f911b701560b1537e9c4ced6064d9759d33be0906761
IMG_0016,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\134035.jpg,134035.jpg,481,321,RGB,JPEG,fe71f4eed285623dc41b1be0d767f7223fe496a979ac16b264c47649655e1e7c
IMG_0017,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\14037.jpg,14037.jpg,481,321,RGB,JPEG,5cbff02cd015ece351725d5f89a880d6a70f71f383b412c81071c66546ce5076
IMG_0018,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\143090.jpg,143090.jpg,481,321,RGB,JPEG,b080362885015372c4d808000009820d044e21de1ea39f89b02307bfc73a0beb
IMG_0019,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\145086.jpg,145086.jpg,481,321,RGB,JPEG,ea31167eece902040a4dfc2e50e1a6112a6888c19566aa93ba698ec754f6e815
IMG_0020,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\147091.jpg,147091.jpg,481,321,RGB,JPEG,208f65955ad60894070a3b768ea7f241c87a3919cfc00ecae9ecf2c51220c791
IMG_0021,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\148026.jpg,148026.jpg,321,481,RGB,JPEG,270c2f11ddb596713ebdcbec5c69031a6df97f18cc9d8c5b26cf96a3ef74102c
IMG_0022,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\148089.jpg,148089.jpg,481,321,RGB,JPEG,d48e9934d24f6c96fcefa9db9b821a4803529786f50a088c78420454f597006f
IMG_0023,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\156065.jpg,156065.jpg,481,321,RGB,JPEG,2328df0f0f479e98fe313142bdc9d6463937e0ab6e7811f0b2ffb79329e946e2
IMG_0024,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\157055.jpg,157055.jpg,481,321,RGB,JPEG,65d2f1fa2847bf9b0207318e880b0dedae82793f5c3ab59b01ff72b2de686062
IMG_0025,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\159008.jpg,159008.jpg,481,321,RGB,JPEG,ce52eb682bc3686ba6907fa7fde3ea8a7f87b105aecfe43b93992ef3c9bad6f2
IMG_0026,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\160068.jpg,160068.jpg,481,321,RGB,JPEG,c757c98def260243a45eb6092d9be75efe77810451d2954e17acc495bb876d6a
IMG_0027,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\16077.jpg,16077.jpg,481,321,RGB,JPEG,19d4d8a03773c9b65f4e4cfed7b0f5674ebe07a9cc4800de554f0c30556c85ec
IMG_0028,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\163085.jpg,163085.jpg,481,321,RGB,JPEG,3886bc975ea9321e3a26536a95a441aeef14af3a5c3313872af23a0d76d55ac6
IMG_0029,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\167062.jpg,167062.jpg,481,321,RGB,JPEG,120d3b4c9eab16d6dad58004a6ce647a7007ca25a6b98e248a35ed5e70c6d5bf
IMG_0030,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\167083.jpg,167083.jpg,321,481,RGB,JPEG,0f09dd34a9d48f8650d1912cb4c4d1e90d33dd559223a27985cf6d6eda75ebe1
IMG_0031,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\170057.jpg,170057.jpg,481,321,RGB,JPEG,a485834fbbc26a08067e0ffef314c2129541d548f9f8dbc0923086c9569ba6c7
IMG_0032,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\175032.jpg,175032.jpg,321,481,RGB,JPEG,8e7b3faa193f7e6f36ab9b092dd7062b7d01e70ff59fe60123b7eabc951c8740
IMG_0033,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\175043.jpg,175043.jpg,481,321,RGB,JPEG,be578b68f530951b117c8bd04c5a79d2061da1d9a6c4c20d10ebc30c509eca89
IMG_0034,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\182053.jpg,182053.jpg,481,321,RGB,JPEG,61ce1ee72993d333bde9191794d63650f21f40cbfb4c630992c3d5e5680b9b65
IMG_0035,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\189080.jpg,189080.jpg,321,481,RGB,JPEG,c8db7afe744b586a8fd7ebb535fd73dd764e3c3335c34be4a59b162cea941100
IMG_0036,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\19021.jpg,19021.jpg,481,321,RGB,JPEG,e896602e24ac9c4f043fb67ecbe05d9b98c28a3ecd31c0e4ddc057ec1cca782e
IMG_0037,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\196073.jpg,196073.jpg,481,321,RGB,JPEG,56367543b34bf798dbe0a721f59cdeffdb67c176e8c75347b5974631b379bbe8
IMG_0038,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\197017.jpg,197017.jpg,481,321,RGB,JPEG,59e30cd9332aa9331665ccd9c32b4f5738d64747584d989de33ff5220d91733b
IMG_0039,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\208001.jpg,208001.jpg,321,481,RGB,JPEG,3056ff21b07978dfd9c7043a10b7eb024f5bce1612b15650b6dc8cb52b069800
IMG_0040,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\210088.jpg,210088.jpg,321,481,RGB,JPEG,a9f75c4315a16c10abadff1fc7f4b409b173ba6326e95e821ef5a41c02639f30
IMG_0041,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\21077.jpg,21077.jpg,481,321,RGB,JPEG,775c0d915b6a5261790eb99fc62afdec4664f9e3cbc2e2d5e724cc69afee3413
IMG_0042,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\216081.jpg,216081.jpg,481,321,RGB,JPEG,0a20b477293947433784dd7e0acb42e05364ef2294d49c5480a574a87aafac04
IMG_0043,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\219090.jpg,219090.jpg,481,321,RGB,JPEG,1f3f81c986fdca765d654d0ad05c6f7d68a0412ee4178bdfa0491558c03d6202
IMG_0044,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\220075.jpg,220075.jpg,481,321,RGB,JPEG,0fcc3e2e5b34f47858dc58587897d6b849558a38a8b9454ebb54a78236b2d0af
IMG_0045,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\223061.jpg,223061.jpg,481,321,RGB,JPEG,0246cf68cc5dba8185e0da2d5df04b90bee7b3f2ed85ab106913b929d115c139
IMG_0046,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\227092.jpg,227092.jpg,321,481,RGB,JPEG,00c00ab0b495598981ff87740e0085d91d8ac4ae39d327ef9b1de774426161cf
IMG_0047,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\229036.jpg,229036.jpg,481,321,RGB,JPEG,3ed19e58c2c7c2b67d8624ce7a1b1a929daec59e5fc7b4217f966f00853fa9b7
IMG_0048,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\236037.jpg,236037.jpg,481,321,RGB,JPEG,b2698ff2e33f683f2666fdc786ad46eab070922df51c9026767744722ea06851
IMG_0049,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\24077.jpg,24077.jpg,481,321,RGB,JPEG,d1a4b952de4b1b130f82675757f40fbe22fd71c4e4eb454ffa0b1d9f89bdec63
IMG_0050,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\241004.jpg,241004.jpg,481,321,RGB,JPEG,510b533e488a6aff986d3b7560a368ffed4a3fa6fefb7aa010376ef4e06e79b3
IMG_0051,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\241048.jpg,241048.jpg,481,321,RGB,JPEG,70c5e137c0b102852ae93c5ddf0e315e06297ed009dfe309d54c4cab02074457
IMG_0052,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\253027.jpg,253027.jpg,481,321,RGB,JPEG,a2936a80c928a0efb8db070a2e46bd6ef4a2f22d33b59db6eb91ca6676faed52
IMG_0053,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\253055.jpg,253055.jpg,481,321,RGB,JPEG,9e7248e4683233f8c8e61e5c4d342ef199d85ae0329116e46ca155de869d296b
IMG_0054,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\260058.jpg,260058.jpg,481,321,RGB,JPEG,3ce26289f3f2dadd74052a81f4da2120ee825e8fdcf6014798cfb8a15343bad7
IMG_0055,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\271035.jpg,271035.jpg,321,481,RGB,JPEG,d01d3266ddb456a47fb382c73862b8d48927e3f000be9587a0aba9aea66bc881
IMG_0056,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\285079.jpg,285079.jpg,321,481,RGB,JPEG,62c16ed71f166b59340fac19748abca19c613b668296733854fbd8911f5bad4e
IMG_0057,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\291000.jpg,291000.jpg,481,321,RGB,JPEG,1e3b80ec6631fa47a7357cb67d8e6235ca843839eff7f06e4c283ea7befcfb05
IMG_0058,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\295087.jpg,295087.jpg,481,321,RGB,JPEG,6f5023c2d062b4078c174f703899cc36a29895608531e7d2d6e2d32997d39d4f
IMG_0059,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\296007.jpg,296007.jpg,481,321,RGB,JPEG,d271c849ec0aca6a92845c0dff6f18c74e507dc93fc0703be0cb006058ca6458
IMG_0060,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\296059.jpg,296059.jpg,481,321,RGB,JPEG,9601b534d81275e5e5844198567015105e5feb418e45a0cfa58545e2d472b955
IMG_0061,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\299086.jpg,299086.jpg,481,321,RGB,JPEG,817939c0da8ad228271a1a1cd87f5a31fe93c741617fb478bb95d9ba3a34d2c2
IMG_0062,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\300091.jpg,300091.jpg,481,321,RGB,JPEG,543e73769b6040f38f9214b777e255f48697e72b8ad61fb001c84e852e2530d1
IMG_0063,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\302008.jpg,302008.jpg,321,481,RGB,JPEG,f8935ab579adfe9d1a71282a025bc25a81ec4e7b6b0468fa1d1ec913f6643fe4
IMG_0064,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\304034.jpg,304034.jpg,481,321,RGB,JPEG,4d529bb81d75bf03f52d969c90cc145a152ea76e878c5833d537df28a62eb7dc
IMG_0065,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\304074.jpg,304074.jpg,321,481,RGB,JPEG,5f9d7dbb32bc871450ce1384e5fbca5df7cfd5edbafb4464aed140194d41329e
IMG_0066,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\306005.jpg,306005.jpg,481,321,RGB,JPEG,27d7bee0b32e7a458c982d2009e81ef06111bd5716204ea6522cd4a95cdefea0
IMG_0067,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\3096.jpg,3096.jpg,481,321,RGB,JPEG,c66477f036b84d478e322c9cc2bd257969d29579549bcf7f35087f2e40d19ff5
IMG_0068,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\33039.jpg,33039.jpg,321,481,RGB,JPEG,9a54f363c4abc7be52b638724d06ce8cce372e6ebd9e5f48833d73fa1ea2a9ee
IMG_0069,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\351093.jpg,351093.jpg,481,321,RGB,JPEG,bd51e0dd49e656705534c8c7d55a7c98314330b06b366e9866e7a9965e128ce0
IMG_0070,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\361010.jpg,361010.jpg,481,321,RGB,JPEG,fe806b64c91cff4d3c4755d84d6e449581ec064be0593d8c7b483e76dcbf7cb1
IMG_0071,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\37073.jpg,37073.jpg,481,321,RGB,JPEG,16e3f09d490cea1bec87326bc02e0440bdb0f7b530a008ce858784c0c476aaff
IMG_0072,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\376043.jpg,376043.jpg,321,481,RGB,JPEG,96e30f229df06707d78c518d6d3de2233fb2b06b6245511d2896b67b13b10561
IMG_0073,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\38082.jpg,38082.jpg,481,321,RGB,JPEG,ebc17d84d39ad6a6c7735079edf295c453d31a5c7892e75eaaa7a3bd9bd2bec0
IMG_0074,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\38092.jpg,38092.jpg,481,321,RGB,JPEG,3bdf276d8084f31744b5ea5a88296cd929e5ae09f7571c597f687b8b2f100037
IMG_0075,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\385039.jpg,385039.jpg,481,321,RGB,JPEG,60b0a5d2e60b8cb6871fe0ff3a1a3a5623aadc2284155515aef5da8b4839a9f9
IMG_0076,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\41033.jpg,41033.jpg,481,321,RGB,JPEG,1048d94225898e420b3381ce1b3fd682b27ada4825326f9657fa198a6a1ab64a
IMG_0077,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\41069.jpg,41069.jpg,481,321,RGB,JPEG,e440f8eca36a7e503e1f2e5bf4fd4a17d9fbf092cf490e7940c2d02ad90713d2
IMG_0078,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\42012.jpg,42012.jpg,321,481,RGB,JPEG,8681423a18c8910f38c801bd3c0dc21627aa99035994c6e37e13dad7424fddd2
IMG_0079,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\42049.jpg,42049.jpg,481,321,RGB,JPEG,a947a1fc0f0f83fc5ae52a907709447d7a5c3b74bd6bfadf75794116731985c8
IMG_0080,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\43074.jpg,43074.jpg,481,321,RGB,JPEG,b1284bc51ace9a8dc849ac4d63c377e3480627c6982fa3c7a794ad31c46ad2bd
IMG_0081,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\45096.jpg,45096.jpg,481,321,RGB,JPEG,8a9cd328ef7c8339f0246ec73c14eda01a29545b5fe4782a3c118976e44f26bf
IMG_0082,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\54082.jpg,54082.jpg,321,481,RGB,JPEG,b5a25d284128cc3e4307c404d26a57107945609bd974ebaac0f026607e98f9b2
IMG_0083,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\55073.jpg,55073.jpg,321,481,RGB,JPEG,539d516840aa3daebe57f5d65d7ca13f4877c8da6ad0a12745bb58fe823a7119
IMG_0084,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\58060.jpg,58060.jpg,481,321,RGB,JPEG,cea82e71a4bbee23d89c18538cd565c9e43a1f4995de6d605352505f83094277
IMG_0085,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\62096.jpg,62096.jpg,481,321,RGB,JPEG,733d222d7aaaff4702b6412eff824e676f37be9fa59a52cf7740ab7695928ef8
IMG_0086,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\65033.jpg,65033.jpg,481,321,RGB,JPEG,7971752b0552d3f8df80cf83656d8f1b10fabefe4cfd1fb5434a97b784b23bff
IMG_0087,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\66053.jpg,66053.jpg,481,321,RGB,JPEG,bc27ff2d520d63f8ffc8575269a14c295788542cb723fcce6bda3752e9de27a7
IMG_0088,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\69015.jpg,69015.jpg,321,481,RGB,JPEG,11ee0b6169a765f20df6126e542deeec1b5e0cac2fa45894cc4990b1358a6248
IMG_0089,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\69020.jpg,69020.jpg,481,321,RGB,JPEG,b48ee9eba4e447d411da427cdd19c01d519d2efef81858d9a15447f687d477c3
IMG_0090,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\69040.jpg,69040.jpg,481,321,RGB,JPEG,fa2492dcdd305967280ea566f2fd2edf21c60104edc0407c2d8aba75fffb4e05
IMG_0091,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\76053.jpg,76053.jpg,481,321,RGB,JPEG,6cc809339a953a105ee1bfdf074200181d0e04240e68c830f7aeb21be237c72c
IMG_0092,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\78004.jpg,78004.jpg,321,481,RGB,JPEG,14ab48ad51e27fb7e3b60bcdfba6d5354a4af957893455b5dd53e624da71b971
IMG_0093,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\8023.jpg,8023.jpg,481,321,RGB,JPEG,c14e203930593ff50b0457bb96a1b1f8165a8b2ceb7c0ebb9ddb283641464f4e
IMG_0094,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\85048.jpg,85048.jpg,481,321,RGB,JPEG,7802d81358356ae5033fdd4be7b475e9e28d6eb5eabba3559594214c603c8ba5
IMG_0095,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\86000.jpg,86000.jpg,321,481,RGB,JPEG,216fca8c3f045c3161e2053a7e85923c874f64e662b4c929d73afdb1c0cd4cbe
IMG_0096,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\86016.jpg,86016.jpg,481,321,RGB,JPEG,f53ca96f3024531f85fcd148833ac37944f4ae8dcb4492905e3469f3f102c970
IMG_0097,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\86068.jpg,86068.jpg,481,321,RGB,JPEG,4a76e8193007a2b86183ecf175c43239377f4deaf6957ef95069ed8c455cb36f
IMG_0098,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\87046.jpg,87046.jpg,481,321,RGB,JPEG,166d637f2602865b43c7f98926056172fc8df29d1daff62af96d80feabd43980
IMG_0099,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\89072.jpg,89072.jpg,321,481,RGB,JPEG,b08020789fcfc502fc3902489d1f1c80f3de55c1a6e5456b930b04c6db78c825
IMG_0100,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\97033.jpg,97033.jpg,481,321,RGB,JPEG,0598c9c6d44af64c04e314f41c21453da7c4bb94adfda48f71548d98b4287d3e
IMG_0101,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\100007.jpg,100007.jpg,481,321,RGB,JPEG,464449ecba30a5a5c229c0133059c83b034e9000bd1d7752a189a8cf21182bf9
IMG_0102,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\100039.jpg,100039.jpg,481,321,RGB,JPEG,418366bbb4f0f4c2200b93e8bda153ab84809fe873a371b32e7cc36c2d091cc3
IMG_0103,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\100099.jpg,100099.jpg,481,321,RGB,JPEG,e5a275fcafb0dc986d802037210989f4852bfb09bd19e525c3b7719104f1fc77
IMG_0104,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\10081.jpg,10081.jpg,481,321,RGB,JPEG,ce1a8bd8da460cf2606b6b5fd55762f8e13b2576fff508228ac24c80839db389
IMG_0105,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\101027.jpg,101027.jpg,481,321,RGB,JPEG,22903efe16abd94cfd821952de276cc36c531070c27bd84de7a3fb958bd64bc9
IMG_0106,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\101084.jpg,101084.jpg,321,481,RGB,JPEG,6bfa36b8e03b12a83abcfd59c5ccdc89334ea23761f11242d5903935ad292d0c
IMG_0107,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\102062.jpg,102062.jpg,481,321,RGB,JPEG,242ea9821b189197d436da1b252325f5e7850248c5d57da53cec29c37ba0773d
IMG_0108,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\103006.jpg,103006.jpg,481,321,RGB,JPEG,67968e9d84cd4c69dea832184ba910d4851c284fcc65a38ed6aee89f2a3a72c1
IMG_0109,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\103029.jpg,103029.jpg,481,321,RGB,JPEG,a05f1c0b30f4e18ad31364abacb54ec55300704ff3a4f8b2889f400bc3757da1
IMG_0110,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\103078.jpg,103078.jpg,481,321,RGB,JPEG,2b21f416993ca1ef49aafa28e5b7f463713dc1b1d510144c673d8b72e035c1f7
IMG_0111,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\104010.jpg,104010.jpg,321,481,RGB,JPEG,1f8516487071b94e3820d833c4795c788ef8df130cb8f7fccf0b87f4cd952339
IMG_0112,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\104055.jpg,104055.jpg,321,481,RGB,JPEG,d2de9fccbf15edde57948cda64ae034a92b14ab2ecefb7d77a436151c8dd7751
IMG_0113,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\105027.jpg,105027.jpg,481,321,RGB,JPEG,f6cba0ae618d793b67729ba561461be7b5339aeaad27429f3a2804f588a4e623
IMG_0114,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\106005.jpg,106005.jpg,481,321,RGB,JPEG,35cd328a7d0e4bcaccbdb8154ec5ebbc8f24439807e573b2fe4a4996ea802bed
IMG_0115,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\106047.jpg,106047.jpg,481,321,RGB,JPEG,2e6250fdfdd796b6d63924233362eb8a194f10466d8d7d69a60cc3ef51a2c356
IMG_0116,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\107014.jpg,107014.jpg,481,321,RGB,JPEG,7bba718bed4919723a576cad0623c0a10e92b8c707d35196180257a3e867cfcd
IMG_0117,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\107045.jpg,107045.jpg,481,321,RGB,JPEG,11ee811a5c67b3499eabbafc9157cd0bce74df369c57e18c988123f576a6f20c
IMG_0118,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\107072.jpg,107072.jpg,481,321,RGB,JPEG,faa70504470e50ea37c0ad01f7f2c2e8682098af3630064a3ca02f6261b2e076
IMG_0119,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\108004.jpg,108004.jpg,481,321,RGB,JPEG,3fb004a47be33dca07744000e794b0ca3cff2251ba85a99f46ccf34d3b9b29df
IMG_0120,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\108036.jpg,108036.jpg,481,321,RGB,JPEG,f24bee7977df112c548f5cd02cb8342784df2582dbb11853b80d59ccd01a62e2
IMG_0121,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\108069.jpg,108069.jpg,481,321,RGB,JPEG,a6d8ba350cac0701edc115fa583bf666231c4e1526801d0a53cea495a15b433a
IMG_0122,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\109055.jpg,109055.jpg,481,321,RGB,JPEG,7e9ed22fb8d3143d47b4a6df687a34335afe36bee74473a4b4d3b240cf04ab6a
IMG_0123,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\112056.jpg,112056.jpg,481,321,RGB,JPEG,df32aa99ba6e9b8e30a60671b37b44af9c578afae809ae972b3d7068c3d7c26f
IMG_0124,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\112090.jpg,112090.jpg,481,321,RGB,JPEG,f625fcefd5e37a5d2efd3ad87e508a562d053eda3a2c67092103b957430023d9
IMG_0125,BSDS500,test,final_evaluation_natural_images,BSR\BSDS500\data\images\test\117025.jpg,117025.jpg,321,481,RGB,JPEG,4239e66eb251e85d266b20bd09efa3d1aedd5a537ede0b9ad411c84db34e3739
