experiment_id,filename,run_index,algorithm,level_R,level_G,level_B,source
IMG_0005,105025.jpg,2,EHHO-VC,121,127,220,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,2,MO-BDA-EHHO-VC,2,8,10,E4_MO_equal_weight_compromise
IMG_0005,105025.jpg,3,BEHHO-VC-Calibrated,2,46,130,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,3,BDA-EHHO-VC-Calibrated,2,111,48,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,3,HHO-VC,2,2,7,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,3,EHHO-VC,2,23,54,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,3,MO-BDA-EHHO-VC,28,34,8,E4_MO_equal_weight_compromise
IMG_0005,105025.jpg,4,BEHHO-VC-Calibrated,2,38,32,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,4,HHO-VC,3,3,13,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,4,BDA-EHHO-VC-Calibrated,2,20,20,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,4,EHHO-VC,3,3,13,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,4,MO-BDA-EHHO-VC,3,26,13,E4_MO_equal_weight_compromise
IMG_0005,105025.jpg,5,EHHO-VC,8,53,161,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,5,BDA-EHHO-VC-Calibrated,8,249,12,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,5,HHO-VC,9,56,161,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,5,BEHHO-VC-Calibrated,8,192,4,E4_singleobjective_attained_solution
IMG_0005,105025.jpg,5,MO-BDA-EHHO-VC,10,4,8,E4_MO_equal_weight_compromise
IMG_0006,106024.jpg,1,EHHO-VC,66,157,38,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,1,HHO-VC,63,136,37,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,1,BEHHO-VC-Calibrated,64,2,35,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,1,BDA-EHHO-VC-Calibrated,176,2,9,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,1,MO-BDA-EHHO-VC,32,8,6,E4_MO_equal_weight_compromise
IMG_0006,106024.jpg,2,BDA-EHHO-VC-Calibrated,174,2,38,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,2,HHO-VC,6,2,24,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,2,EHHO-VC,6,2,24,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,2,BEHHO-VC-Calibrated,132,2,32,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,2,MO-BDA-EHHO-VC,130,9,43,E4_MO_equal_weight_compromise
IMG_0006,106024.jpg,3,HHO-VC,31,4,10,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,3,BDA-EHHO-VC-Calibrated,111,64,17,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,3,EHHO-VC,31,4,10,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,3,BEHHO-VC-Calibrated,88,64,10,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,3,MO-BDA-EHHO-VC,6,33,6,E4_MO_equal_weight_compromise
IMG_0006,106024.jpg,4,EHHO-VC,7,2,18,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,4,BDA-EHHO-VC-Calibrated,171,2,27,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,4,HHO-VC,7,2,18,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,4,BEHHO-VC-Calibrated,8,16,16,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,4,MO-BDA-EHHO-VC,156,132,6,E4_MO_equal_weight_compromise
IMG_0006,106024.jpg,5,BEHHO-VC-Calibrated,196,192,8,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,5,EHHO-VC,250,228,23,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,5,HHO-VC,94,83,8,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,5,BDA-EHHO-VC-Calibrated,125,225,8,E4_singleobjective_attained_solution
IMG_0006,106024.jpg,5,MO-BDA-EHHO-VC,23,33,21,E4_MO_equal_weight_compromise
IMG_0007,108005.jpg,1,BEHHO-VC-Calibrated,154,116,70,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,1,EHHO-VC,132,119,28,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,1,BDA-EHHO-VC-Calibrated,190,109,19,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,1,HHO-VC,185,254,18,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,1,MO-BDA-EHHO-VC,49,25,16,E4_MO_equal_weight_compromise
IMG_0007,108005.jpg,2,HHO-VC,2,212,149,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,2,EHHO-VC,2,212,149,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,2,BEHHO-VC-Calibrated,4,211,100,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,2,BDA-EHHO-VC-Calibrated,4,178,142,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,2,MO-BDA-EHHO-VC,64,52,18,E4_MO_equal_weight_compromise
IMG_0007,108005.jpg,3,BDA-EHHO-VC-Calibrated,133,22,114,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,3,EHHO-VC,132,136,134,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,3,BEHHO-VC-Calibrated,135,101,103,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,3,HHO-VC,132,136,136,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,3,MO-BDA-EHHO-VC,41,9,56,E4_MO_equal_weight_compromise
IMG_0007,108005.jpg,4,EHHO-VC,150,27,5,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,4,BEHHO-VC-Calibrated,2,24,5,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,4,HHO-VC,25,4,2,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,4,BDA-EHHO-VC-Calibrated,13,41,5,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,4,MO-BDA-EHHO-VC,26,37,10,E4_MO_equal_weight_compromise
IMG_0007,108005.jpg,5,EHHO-VC,9,2,23,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,5,BDA-EHHO-VC-Calibrated,9,84,3,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,5,BEHHO-VC-Calibrated,9,3,91,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,5,HHO-VC,9,2,20,E4_singleobjective_attained_solution
IMG_0007,108005.jpg,5,MO-BDA-EHHO-VC,2,28,32,E4_MO_equal_weight_compromise
IMG_0008,108070.jpg,1,EHHO-VC,59,120,31,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,1,BDA-EHHO-VC-Calibrated,159,116,45,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,1,BEHHO-VC-Calibrated,129,2,35,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,1,HHO-VC,61,128,31,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,1,MO-BDA-EHHO-VC,56,9,43,E4_MO_equal_weight_compromise
IMG_0008,108070.jpg,2,BDA-EHHO-VC-Calibrated,22,38,2,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,2,EHHO-VC,52,45,255,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,2,BEHHO-VC-Calibrated,36,24,2,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,2,HHO-VC,41,2,2,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,2,MO-BDA-EHHO-VC,16,12,4,E4_MO_equal_weight_compromise
IMG_0008,108070.jpg,3,BEHHO-VC-Calibrated,41,193,35,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,3,EHHO-VC,48,49,7,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,3,HHO-VC,189,200,46,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,3,BDA-EHHO-VC-Calibrated,171,254,7,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,3,MO-BDA-EHHO-VC,12,32,4,E4_MO_equal_weight_compromise
IMG_0008,108070.jpg,4,BDA-EHHO-VC-Calibrated,107,85,2,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,4,EHHO-VC,3,14,2,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,4,HHO-VC,3,14,2,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,4,BEHHO-VC-Calibrated,251,105,2,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,4,MO-BDA-EHHO-VC,32,2,21,E4_MO_equal_weight_compromise
IMG_0008,108070.jpg,5,BEHHO-VC-Calibrated,168,9,9,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,5,BDA-EHHO-VC-Calibrated,141,169,13,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,5,EHHO-VC,4,92,9,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,5,HHO-VC,2,2,5,E4_singleobjective_attained_solution
IMG_0008,108070.jpg,5,MO-BDA-EHHO-VC,21,168,2,E4_MO_equal_weight_compromise
IMG_0009,108082.jpg,1,HHO-VC,2,2,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,1,BEHHO-VC-Calibrated,4,2,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,1,EHHO-VC,2,2,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,1,BDA-EHHO-VC-Calibrated,26,132,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,1,MO-BDA-EHHO-VC,14,39,24,E4_MO_equal_weight_compromise
IMG_0009,108082.jpg,2,HHO-VC,2,2,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,2,EHHO-VC,2,2,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,2,BDA-EHHO-VC-Calibrated,47,8,119,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,2,BEHHO-VC-Calibrated,33,16,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,2,MO-BDA-EHHO-VC,16,2,2,E4_MO_equal_weight_compromise
IMG_0009,108082.jpg,3,BDA-EHHO-VC-Calibrated,24,4,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,3,HHO-VC,4,4,3,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,3,EHHO-VC,4,4,3,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,3,BEHHO-VC-Calibrated,4,4,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,3,MO-BDA-EHHO-VC,4,8,2,E4_MO_equal_weight_compromise
IMG_0009,108082.jpg,4,EHHO-VC,20,2,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,4,HHO-VC,126,2,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,4,BDA-EHHO-VC-Calibrated,152,2,81,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,4,BEHHO-VC-Calibrated,129,2,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,4,MO-BDA-EHHO-VC,12,4,40,E4_MO_equal_weight_compromise
IMG_0009,108082.jpg,5,EHHO-VC,22,9,32,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,5,BEHHO-VC-Calibrated,65,3,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,5,BDA-EHHO-VC-Calibrated,18,47,2,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,5,HHO-VC,7,3,10,E4_singleobjective_attained_solution
IMG_0009,108082.jpg,5,MO-BDA-EHHO-VC,10,2,8,E4_MO_equal_weight_compromise
IMG_0010,109053.jpg,1,HHO-VC,2,110,108,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,1,EHHO-VC,2,107,107,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,1,BDA-EHHO-VC-Calibrated,2,4,120,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,1,BEHHO-VC-Calibrated,2,4,96,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,1,MO-BDA-EHHO-VC,32,2,16,E4_MO_equal_weight_compromise
IMG_0010,109053.jpg,2,BDA-EHHO-VC-Calibrated,2,37,88,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,2,HHO-VC,225,4,223,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,2,BEHHO-VC-Calibrated,2,2,33,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,2,EHHO-VC,225,4,223,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,2,MO-BDA-EHHO-VC,64,5,8,E4_MO_equal_weight_compromise
IMG_0010,109053.jpg,3,HHO-VC,31,2,10,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,3,BEHHO-VC-Calibrated,32,2,10,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,3,EHHO-VC,50,13,7,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,3,BDA-EHHO-VC-Calibrated,137,2,5,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,3,MO-BDA-EHHO-VC,56,2,32,E4_MO_equal_weight_compromise
IMG_0010,109053.jpg,4,EHHO-VC,15,12,23,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,4,BDA-EHHO-VC-Calibrated,4,88,70,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,4,BEHHO-VC-Calibrated,6,48,20,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,4,HHO-VC,15,12,23,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,4,MO-BDA-EHHO-VC,9,40,18,E4_MO_equal_weight_compromise
IMG_0010,109053.jpg,5,HHO-VC,4,2,2,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,5,EHHO-VC,3,2,2,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,5,BEHHO-VC-Calibrated,2,160,2,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,5,BDA-EHHO-VC-Calibrated,4,161,2,E4_singleobjective_attained_solution
IMG_0010,109053.jpg,5,MO-BDA-EHHO-VC,42,2,38,E4_MO_equal_weight_compromise
IMG_0011,119082.jpg,1,HHO-VC,53,5,15,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,1,EHHO-VC,21,5,8,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,1,BDA-EHHO-VC-Calibrated,118,8,50,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,1,BEHHO-VC-Calibrated,252,5,88,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,1,MO-BDA-EHHO-VC,25,6,10,E4_MO_equal_weight_compromise
IMG_0011,119082.jpg,2,HHO-VC,5,3,6,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,2,BEHHO-VC-Calibrated,2,8,2,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,2,EHHO-VC,5,32,112,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,2,BDA-EHHO-VC-Calibrated,5,36,84,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,2,MO-BDA-EHHO-VC,94,12,22,E4_MO_equal_weight_compromise
IMG_0011,119082.jpg,3,HHO-VC,193,18,141,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,3,BDA-EHHO-VC-Calibrated,193,2,85,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,3,BEHHO-VC-Calibrated,217,2,82,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,3,EHHO-VC,193,18,141,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,3,MO-BDA-EHHO-VC,11,4,17,E4_MO_equal_weight_compromise
IMG_0011,119082.jpg,4,HHO-VC,4,46,29,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,4,BDA-EHHO-VC-Calibrated,4,24,19,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,4,BEHHO-VC-Calibrated,208,2,103,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,4,EHHO-VC,4,63,39,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,4,MO-BDA-EHHO-VC,32,32,18,E4_MO_equal_weight_compromise
IMG_0011,119082.jpg,5,EHHO-VC,11,111,170,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,5,BDA-EHHO-VC-Calibrated,7,109,202,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,5,HHO-VC,11,115,173,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,5,BEHHO-VC-Calibrated,2,19,186,E4_singleobjective_attained_solution
IMG_0011,119082.jpg,5,MO-BDA-EHHO-VC,6,8,66,E4_MO_equal_weight_compromise
IMG_0012,12084.jpg,1,BEHHO-VC-Calibrated,16,42,104,E4_singleobjective_attained_solution
IMG_0012,12084.jpg,1,BDA-EHHO-VC-Calibrated,16,28,105,E4_singleobjective_attained_solution
IMG_0012,12084.jpg,1,EHHO-VC,228,46,254,E4_singleobjective_attained_solution
IMG_0012,12084.jpg,1,HHO-VC,229,46,254,E4_singleobjective_attained_solution
