relative_path,filename,parent_folder,split,dataset_hint,format,extension,width,height,megapixels,aspect_ratio,mode,channels,bit_depth,size_bytes,size_mb,sha256,status
BSR\BSDS500\data\images\test\100099.jpg,100099.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,48381,0.04614,e5a275fcafb0dc986d802037210989f4852bfb09bd19e525c3b7719104f1fc77,OK
BSR\BSDS500\data\images\test\10081.jpg,10081.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,53802,0.05131,ce1a8bd8da460cf2606b6b5fd55762f8e13b2576fff508228ac24c80839db389,OK
BSR\BSDS500\data\images\test\101027.jpg,101027.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,86536,0.082527,22903efe16abd94cfd821952de276cc36c531070c27bd84de7a3fb958bd64bc9,OK
BSR\BSDS500\data\images\test\101084.jpg,101084.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,103502,0.098707,6bfa36b8e03b12a83abcfd59c5ccdc89334ea23761f11242d5903935ad292d0c,OK
BSR\BSDS500\data\images\test\102062.jpg,102062.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,109331,0.104266,242ea9821b189197d436da1b252325f5e7850248c5d57da53cec29c37ba0773d,OK
BSR\BSDS500\data\images\test\103006.jpg,103006.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,90593,0.086396,67968e9d84cd4c69dea832184ba910d4851c284fcc65a38ed6aee89f2a3a72c1,OK
BSR\BSDS500\data\images\test\103029.jpg,103029.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,49754,0.047449,a05f1c0b30f4e18ad31364abacb54ec55300704ff3a4f8b2889f400bc3757da1,OK
BSR\BSDS500\data\images\test\103078.jpg,103078.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,75560,0.07206,2b21f416993ca1ef49aafa28e5b7f463713dc1b1d510144c673d8b72e035c1f7,OK
BSR\BSDS500\data\images\test\104010.jpg,104010.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,81014,0.077261,1f8516487071b94e3820d833c4795c788ef8df130cb8f7fccf0b87f4cd952339,OK
BSR\BSDS500\data\images\test\104055.jpg,104055.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,58711,0.055991,d2de9fccbf15edde57948cda64ae034a92b14ab2ecefb7d77a436151c8dd7751,OK
BSR\BSDS500\data\images\test\105027.jpg,105027.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,70699,0.067424,f6cba0ae618d793b67729ba561461be7b5339aeaad27429f3a2804f588a4e623,OK
BSR\BSDS500\data\images\test\106005.jpg,106005.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,45186,0.043093,35cd328a7d0e4bcaccbdb8154ec5ebbc8f24439807e573b2fe4a4996ea802bed,OK
BSR\BSDS500\data\images\test\106047.jpg,106047.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,52637,0.050199,2e6250fdfdd796b6d63924233362eb8a194f10466d8d7d69a60cc3ef51a2c356,OK
BSR\BSDS500\data\images\test\107014.jpg,107014.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,73085,0.069699,7bba718bed4919723a576cad0623c0a10e92b8c707d35196180257a3e867cfcd,OK
BSR\BSDS500\data\images\test\107045.jpg,107045.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,85230,0.081282,11ee811a5c67b3499eabbafc9157cd0bce74df369c57e18c988123f576a6f20c,OK
BSR\BSDS500\data\images\test\107072.jpg,107072.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,91573,0.087331,faa70504470e50ea37c0ad01f7f2c2e8682098af3630064a3ca02f6261b2e076,OK
BSR\BSDS500\data\images\test\108004.jpg,108004.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,106842,0.101892,3fb004a47be33dca07744000e794b0ca3cff2251ba85a99f46ccf34d3b9b29df,OK
BSR\BSDS500\data\images\test\108036.jpg,108036.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,89075,0.084949,f24bee7977df112c548f5cd02cb8342784df2582dbb11853b80d59ccd01a62e2,OK
BSR\BSDS500\data\images\test\108069.jpg,108069.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,86784,0.082764,a6d8ba350cac0701edc115fa583bf666231c4e1526801d0a53cea495a15b433a,OK
BSR\BSDS500\data\images\test\109055.jpg,109055.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,77978,0.074366,7e9ed22fb8d3143d47b4a6df687a34335afe36bee74473a4b4d3b240cf04ab6a,OK
BSR\BSDS500\data\images\test\112056.jpg,112056.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,47194,0.045008,df32aa99ba6e9b8e30a60671b37b44af9c578afae809ae972b3d7068c3d7c26f,OK
BSR\BSDS500\data\images\test\112090.jpg,112090.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,82353,0.078538,f625fcefd5e37a5d2efd3ad87e508a562d053eda3a2c67092103b957430023d9,OK
BSR\BSDS500\data\images\test\117025.jpg,117025.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,83832,0.079948,4239e66eb251e85d266b20bd09efa3d1aedd5a537ede0b9ad411c84db34e3739,OK
BSR\BSDS500\data\images\test\118015.jpg,118015.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,76111,0.072585,3b7f6647fc717f459175014cb7a23f5f2728b9fd7ee9689d20eaaabc8dd00393,OK
BSR\BSDS500\data\images\test\118031.jpg,118031.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,82578,0.078753,1af5bcf37b28ee68c2e18aeac19ff9a79cf1edb522ecdcb064094349f1c28610,OK
BSR\BSDS500\data\images\test\118072.jpg,118072.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,81457,0.077683,5da8ebc70169f79ca0bfc118a25b74469da928cd41ffc6a646bf67a97d933c28,OK
BSR\BSDS500\data\images\test\120003.jpg,120003.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,49002,0.046732,ec900ce4bdbe93c621dc15edfbbe2b9dce9abd734d6dd3d90bc000afbbb894f0,OK
BSR\BSDS500\data\images\test\120093.jpg,120093.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,75283,0.071795,9642ec65e348528f9657924c76a0e5de9bb9a625247cde3a9b388cebdc44e777,OK
BSR\BSDS500\data\images\test\123057.jpg,123057.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,61872,0.059006,6a89868d16a768df2a995c31200e261f69389b75c278db9ebf7308cabc27036e,OK
BSR\BSDS500\data\images\test\128035.jpg,128035.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,64191,0.061217,8cb08848a8298b47a766842fa690e75cd9e1fcb6c78c5c6ec81b3de7f8810425,OK
BSR\BSDS500\data\images\test\130014.jpg,130014.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,66783,0.063689,07767957cad004bbb9b5b9a651a610c7bc190b9144f0f33ae5de53ddc066cc08,OK
BSR\BSDS500\data\images\test\130066.jpg,130066.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,62883,0.05997,76bea9cddc43fcd5bf476a6ce57be846f7a4c58367c75b65342ee48b83a7fd59,OK
BSR\BSDS500\data\images\test\134049.jpg,134049.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,98858,0.094278,aef65fe0e008b8ab4d380008956239008a9d87af18db48bd4bfc5949f853fb80,OK
BSR\BSDS500\data\images\test\134067.jpg,134067.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,117511,0.112067,a6edef5e4ece7772631d83d0d540915fb24d0702832b1b55c882ff9f10f84ead,OK
BSR\BSDS500\data\images\test\140006.jpg,140006.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,70152,0.066902,b2a7f8bbe5997025679a2aef5c63a2af1dc8f82f4f10a54968ed2265eda4f3ed,OK
BSR\BSDS500\data\images\test\140088.jpg,140088.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,55069,0.052518,d7d9d8f75fc2e7e016cd032d36cee2cb879f49d81b781a13666efe25ae34f4ff,OK
BSR\BSDS500\data\images\test\14085.jpg,14085.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,77397,0.073812,422ecc12e446aab0402491ca760617614efe5df15ff2885047898348366cd182,OK
BSR\BSDS500\data\images\test\14092.jpg,14092.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,77795,0.074191,28cf7a6fedc4e759b555a21ec7293c1c76ed86ba584e78acc15fa80a3f0a8af4,OK
BSR\BSDS500\data\images\test\141012.jpg,141012.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,104028,0.099209,64c79597add3618b25e4f1da5ec4663606003ff567ab4f885dc70f2dfdb65bfb,OK
BSR\BSDS500\data\images\test\141048.jpg,141048.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,92781,0.088483,077a9ba0b47ffaca3378a3b9238037f1cc9f4e3ce05a1ea79234b74a220fbb1d,OK
BSR\BSDS500\data\images\test\145059.jpg,145059.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,83755,0.079875,e54556691f0d1932809307d09ed28beb758b88f4964b5be2f25dd55b15c65dae,OK
BSR\BSDS500\data\images\test\145079.jpg,145079.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,95463,0.091041,c22b573f79cc33a74f95fe7657a885eb28a72dddbce293031fb6b5a0383a1ef0,OK
BSR\BSDS500\data\images\test\146074.jpg,146074.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,66314,0.063242,363c7412accc072dd333079ece458ae7242ffb6e7e7ff43769535695c2eb36df,OK
BSR\BSDS500\data\images\test\147077.jpg,147077.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,83192,0.079338,58d982e3a21641de41fd7226f12930d58c263faa46e7873c32a8482adc1f2195,OK
BSR\BSDS500\data\images\test\147080.jpg,147080.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,85841,0.081864,d123b0805613106d9963256cade9303c836bf7e44ad4246a1ee80c1787ab4fc3,OK
BSR\BSDS500\data\images\test\15011.jpg,15011.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,73994,0.070566,faa6f24b35efb5368b35cad0c855cdf1346caa762d881a77b6499b7dfa6bd9c9,OK
BSR\BSDS500\data\images\test\15062.jpg,15062.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,84220,0.080318,5f712262d849dc0c0f3a2105f7a84a5e9d43acd0322dbe3c623ab1666c263b45,OK
BSR\BSDS500\data\images\test\156054.jpg,156054.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,73152,0.069763,b6fd2f5ea33770bf59d1c93cb072eef201a6ed2effe1b6849047c79bbe3cf7d1,OK
BSR\BSDS500\data\images\test\157032.jpg,157032.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,50018,0.047701,871b712b8378152f556ab893fea214ddad054dfe3b477aafe50aa6b28ab62180,OK
BSR\BSDS500\data\images\test\157087.jpg,157087.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,84918,0.080984,3c11e74c45c841bd15cef1ccb798748180348712c122d17fac1b325d9181a03c,OK
BSR\BSDS500\data\images\test\159002.jpg,159002.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,63824,0.060867,9943225e4dc4f0beeb47f647dbb0135211f03ec227aa0f2f5414bd76879c1d5e,OK
BSR\BSDS500\data\images\test\159022.jpg,159022.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,48613,0.046361,bfd411afa908510a2d8b5ddb408f260274cd405dbc12f3917634958dd7125055,OK
BSR\BSDS500\data\images\test\160006.jpg,160006.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,64017,0.061051,d7e9211d09d4e2f9ed1cc26c2881a875b6d0267ceaed46c33752c73634437e54,OK
BSR\BSDS500\data\images\test\16004.jpg,16004.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,78423,0.07479,60bbabf581e05d4375f038a2f5e3b54d7f432309555ec862bad055861745d065,OK
BSR\BSDS500\data\images\test\160067.jpg,160067.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,61985,0.059114,67433727c173c6d39898b951a9bf0ffad5cd67162e9fd72bd3e63922437c8dfb,OK
BSR\BSDS500\data\images\test\16068.jpg,16068.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,79209,0.07554,41860a888ef88a53fd2a8f87efe6aa940cb251846a4e4286b314cf6837db685d,OK
BSR\BSDS500\data\images\test\161045.jpg,161045.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,55320,0.052757,fc1fef369b737153abc1939d5caadd2bcb1c43c993b0585d76baddf904097d54,OK
BSR\BSDS500\data\images\test\163004.jpg,163004.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,72012,0.068676,f0fcae5a5423204d97b76b5d4ec908f252f12ec9a5389dd78f6b77b4682ac1d8,OK
BSR\BSDS500\data\images\test\163096.jpg,163096.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,81206,0.077444,0664af30fb590ed984fc84cf465d2bbf98f7ff4224ccafa07d0c8a88ae7e489a,OK
BSR\BSDS500\data\images\test\164046.jpg,164046.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,67608,0.064476,a22ecdcecbdfeb9b59689a253e1f6eb623fff9366eab7432cc25c6493b26480e,OK
BSR\BSDS500\data\images\test\168084.jpg,168084.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,54516,0.051991,cfd2ca5c91a4d0766a0361cae0fa85156e5d41837423b456afe116f1aab5df51,OK
BSR\BSDS500\data\images\test\17067.jpg,17067.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,83608,0.079735,009272fd55b183079416afa7dce44f378e5ebee0671fb93f0b7c625896568d7d,OK
BSR\BSDS500\data\images\test\175083.jpg,175083.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,94106,0.089746,1195c007b2c5bfd1dd2e3ca745234761ae84c8eeb6be9369f4dcc7fd683edfc8,OK
BSR\BSDS500\data\images\test\176051.jpg,176051.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,56894,0.054258,35e756e96c7aae6c5a60e30f383d73a8d23f39e0017bb215fee042969e7f0ece,OK
BSR\BSDS500\data\images\test\179084.jpg,179084.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,51776,0.049377,56d2163c22047df06b2cc1822d938ac7a5f006dace4a36348cec84581305c178,OK
BSR\BSDS500\data\images\test\181021.jpg,181021.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,66694,0.063604,0c2691f21f60443a0ff374b0dcd5f4d59b292493f059950783927edd2cc343d1,OK
BSR\BSDS500\data\images\test\183066.jpg,183066.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,73460,0.070057,51e445086f15f1ac6ed53fe36d8b05cee73af1814b31bfebe586c1ad380ea3f6,OK
BSR\BSDS500\data\images\test\185092.jpg,185092.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,48068,0.045841,62ccd6f5e239e9f1436fde259b2790d311ae9d44d080fb41d2ee52af4158a51d,OK
BSR\BSDS500\data\images\test\187058.jpg,187058.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,112005,0.106816,7e22c0aad5a70be1ef3b39208628c7e684b8dd316e5277c711656264f28957d5,OK
BSR\BSDS500\data\images\test\187099.jpg,187099.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,111759,0.106582,446645603a915a14f7396e59338029ea07347445b35e69b0d4288aed6dd72fa3,OK
BSR\BSDS500\data\images\test\188025.jpg,188025.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,74412,0.070965,36f77290d5616c2a19d1e500894d654eb4150334b6d7415a4ae94281d82ccddd,OK
BSR\BSDS500\data\images\test\189006.jpg,189006.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,52278,0.049856,145c090ed9124d70f4831fa65eaf9b03037394620e09eed18fb6664d1e18899f,OK
BSR\BSDS500\data\images\test\189013.jpg,189013.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,55968,0.053375,ae1e6b753a9d57ec0f67fa49aa0184103100f0735126b99aafe7b2bf2ee82945,OK
BSR\BSDS500\data\images\test\189029.jpg,189029.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,58902,0.056173,04cabce52bd2d45a4223887e2668b8d2c5a568ba4ba038f14d94e22843fec4db,OK
BSR\BSDS500\data\images\test\189096.jpg,189096.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,78363,0.074733,78aec8826416eb8846855b62ff8afd3808776ad3ab6b2acb1350dd373ed741cd,OK
BSR\BSDS500\data\images\test\196027.jpg,196027.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,40181,0.03832,17d600717a50f174642f369cc5ad93c3463680b5b2d1cfc9ad8aa355ce2508c8,OK
BSR\BSDS500\data\images\test\196040.jpg,196040.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,91007,0.086791,118104de61573ce715006fd507185a23acdc5db88d7ea419bfee068b90eaca64,OK
BSR\BSDS500\data\images\test\196062.jpg,196062.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,69954,0.066713,c883772cbce3ecbd583bc1c44bef7f29d45ac45834f514b31e440f60407ae768,OK
BSR\BSDS500\data\images\test\196088.jpg,196088.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,107719,0.102729,4212157c1800d1327405cd1370254cdd9ac2ee79b0a5676c1dd02fa13665c0e5,OK
BSR\BSDS500\data\images\test\198087.jpg,198087.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,60439,0.057639,ae2e968cab42ec427271ed1e7e3b83cfa9908ede08af67cc9016b67c286366c5,OK
BSR\BSDS500\data\images\test\20069.jpg,20069.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,56665,0.05404,824f794603001e2e80e1e1fdab16e732dcb6dba29aec7370154bfb4349b9c681,OK
BSR\BSDS500\data\images\test\201080.jpg,201080.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,481,321,0.154401,1.498442,RGB,3,8-bit/channel,61591,0.058738,80feeec5dab8c086d7d45c0b9d6c9e96672e1d678f5769f5ebb25626e0ca2662,OK
BSR\BSDS500\data\images\test\2018.jpg,2018.jpg,BSR\BSDS500\data\images\test,test,BSDS500,JPEG,.jpg,321,481,0.154401,0.66736,RGB,3,8-bit/channel,75004,0.071529,181f54d5dc7c77222c5c9992289c885f38156fcae91df8e25c2dda2d3f810b00,OK
